Alfred University (Alfred, NY)
Alma College (Alma, MI)
Bates College (Lewiston, ME)
Boston College (Chestnut Hill, MA)
Bowdoin College (Brunswick, ME)
Claremont McKenna College (Claremont, CA)
Colby College (Waterville, ME)
College of St. Benedict (St. Joseph, MN)
Hamilton College (Clinton, NY)
Hartwick College (Oneonta, NY)
Illinois Wesleyan University (Bloomington, IL)
Lake Forest College (Lake Forest, IL)
Occidental College (Los Angeles, CA)
Pitzer College (Claremont, CA)
Pomona College (Claremont, CA)
Princeton University (Princeton, NJ)
Sewanee: The University of the South (Sewanee, TN)
Southwestern University (Georgetown, TX)
St. Catherine University (St. Paul, MN)
St. Lawrence University (Canton, NY)
The College of Wooster (Wooster, OH)
Transylvania University (Lexington, KY)
Trinity University (San Antonio, TX)
Tufts University (Medford, MA)
United States Air Force Academy (USAF Academy, CO)
United States Naval Academy (Annapolis, MD)
University of California, Berkeley (Berkeley, CA)
University of Connecticut (Storrs, CT)
University of Illinois at Urbana&#8211;Champaign (Champaign, IL)
University of Redlands (Redlands, CA)
University of Wisconsin &#8212; Madison (Madison, WI)
Wesleyan University (Middletown, CT)
