Augustana College (Rock Island, IL)
Aurora University (Aurora, IL)
Blackburn College (Carlinville, IL)
Concordia University &#8212; Chicago (River Forest, IL)
Dominican University (River Forest, IL)
Elmhurst College (Elmhurst, IL)
Eureka College (Eureka, IL)
Greenville College (Greenville, IL)
Illinois College (Jacksonville, IL)
Knox College (Galesburg, IL)
Lake Forest College (Lake Forest, IL)
Lewis University (Romeoville, IL)
McKendree University (Lebanon, IL)
Millikin University (Decatur, IL)
Monmouth College (Monmouth, IL)
North Central College (Naperville, IL)
North Park University (Chicago, IL)
Olivet Nazarene University (Bourbonnais, IL)
Principia College (Elsah, IL)
Quincy University (Quincy, IL)
Rockford University (Rockford, IL)
Trinity Christian College (Palos Heights, IL)
University of St. Francis (Joliet, IL)
