Davidson College (Davidson, NC)
Duquesne University (Pittsburgh, PA)
Fordham University (Bronx, NY)
George Mason University (Fairfax, VA)
La Salle University (Philadelphia, PA)
Lock Haven University of Pennsylvania (Lock Haven, PA): field hockey only
Saint Francis University (Loretto, PA): field hockey only
Saint Joseph's University (Philadelphia, PA)
Saint Louis University (St. Louis, MO)
St. Bonaventure University (St. Bonaventure, NY)
The George Washington University (Washington, DC)
University of Dayton (Dayton, OH)
University of Massachusetts Amherst (Amherst, MA)
University of Rhode Island (Kingston, RI)
University of Richmond (University of Richmond, VA)
Virginia Commonwealth University (Richmond, VA)
