Baylor University (Waco, TX)
Iowa State University (Ames, IA)
Kansas State University (Manhattan, KS)
North Dakota State University (Fargo, ND): wrestling only
Oklahoma State University (Stillwater, OK)
Old Dominion University (Norfolk, VA): women's rowing only
South Dakota State University (Brookings, SD): wrestling only
Texas Christian University (Fort Worth, TX)
Texas Tech University (Lubbock, TX)
The University of Alabama (Tuscaloosa, AL): women's rowing only
The University of Texas at Austin (Austin, TX)
United States Air Force Academy (USAF Academy, CO): wrestling only
University of Denver (Denver, CO): women's gymnastics only
University of Kansas (Lawrence, KS)
University of Northern Colorado (Greeley, CO): wrestling only
University of Oklahoma (Norman, OK)
University of Tennessee at Knoxville (Knoxville, TN): women's rowing only
University of Wyoming (Laramie, WY): wrestling only
Utah Valley University (Orem, UT): wrestling only
West Virginia University (Morgantown, WV)
