Binghamton University, The State University of New York (Binghamton, NY): men's golf only
California Polytechnic State University, San Luis Obispo (San Luis Obispo, CA): football only
California State University, Sacramento (Sacramento, CA)
Eastern Washington University (Cheney, WA)
Idaho State University (Pocatello, ID)
Montana State University &#8212; Bozeman (Bozeman, MT)
Northern Arizona University (Flagstaff, AZ)
Portland State University (Portland, OR)
Southern Utah University (Cedar City, UT)
The University of Montana (Missoula, MT)
University of California, Davis (Davis, CA): football only
University of Hartford (West Hartford, CT): men's golf only
University of North Dakota (Grand Forks, ND)
University of Northern Colorado (Greeley, CO)
Weber State University (Ogden, UT)
