Adelphi University (Garden City, NY)
Allegheny College (Meadville, PA)
American University (Washington, DC)
Amherst College (Amherst, MA)
Augsburg College (Minneapolis, MN)
Babson College (Babson Park, MA)
Bard College at Simon's Rock (Great Barrington, MA)
Bowdoin College (Brunswick, ME)
Bridgewater State University (Bridgewater, MA)
California State University, Long Beach (Long Beach, CA)
California State University, Northridge (Northridge, CA)
Carleton College (Northfield, MN)
Case Western Reserve University (Cleveland, OH)
Central Connecticut State University (New Britain, CT)
Central Washington University (Ellensburg, WA)
Clarion University of Pennsylvania (Clarion, PA)
Colorado State University (Fort Collins, CO)
Columbia College Chicago (Chicago, IL)
Columbia University (New York, NY)
Connecticut College (New London, CT)
Cornell University (Ithaca, NY)
Dartmouth College (Hanover, NH)
Davidson College (Davidson, NC)
Dickinson College (Carlisle, PA)
Duke University (Durham, NC)
East Carolina University (Greenville, NC)
Eastern Illinois University (Charleston, IL)
Eastern Michigan University (Ypsilanti, MI)
Elon University (Elon, NC)
Emerson College (Boston, MA)
Emory University (Atlanta, GA)
Florida State University (Tallahassee, FL)
Georgetown University (Washington, DC)
Goucher College (Baltimore, MD)
Grand Valley State University (Allendale, MI)
Guilford College (Greensboro, NC)
Harvey Mudd College (Claremont, CA)
Hobart and William Smith Colleges (Geneva, NY)
Humboldt State University (Arcata, CA)
Illinois Wesleyan University (Bloomington, IL)
Indiana University &#8212; Purdue University Indianapolis (Indianapolis, IN)
Indiana University Bloomington (Bloomington, IN)
Ithaca College (Ithaca, NY)
James Madison University (Harrisonburg, VA)
Johns Hopkins University (Baltimore, MD)
Kalamazoo College (Kalamazoo, MI)
Kansas State University (Manhattan, KS)
Kennesaw State University (Kennesaw, GA)
Kent State University (Kent, OH)
Kutztown University of Pennsylvania (Kutztown, PA)
Lawrence University (Appleton, WI)
Lehigh University (Bethlehem, PA)
Loyola Marymount University (Los Angeles, CA)
Macalester College (St. Paul, MN)
Massachusetts Institute of Technology (Cambridge, MA)
Michigan State University (East Lansing, MI)
Mills College (Oakland, CA)
Montclair State University (Montclair, NJ)
New York University (New York, NY)
Northern Illinois University (DeKalb, IL)
Northern Kentucky University (Highland Heights, KY)
Northwestern University (Evanston, IL)
Oakland University (Rochester, MI)
Oberlin College (Oberlin, OH)
Ohio University (Athens, OH)
Oregon State University (Corvallis, OR)
Pace University (New York, NY)
Pellissippi State Community College (Knoxville, TN)
Pennsylvania State University &#8212; University Park (University Park, PA)
Portland State University (Portland, OR)
Princeton University (Princeton, NJ)
Purdue University &#8212; West Lafayette (West Lafayette, IN)
Rowan University (Glassboro, NJ)
Rutgers, the State University of New Jersey &#8212; New Brunswick (Piscataway, NJ)
SUNY &#8212; New Paltz (New Paltz, NY)
San Diego State University (San Diego, CA)
Southern Illinois University &#8212; Carbondale (Carbondale, IL)
Southern Illinois University, Edwardsville (Edwardsville, IL)
Southern Methodist University (Dallas, TX)
Southern Oregon University (Ashland, OR)
Swarthmore College (Swarthmore, PA)
Texas Tech University (Lubbock, TX)
The College at Brockport, SUNY (Brockport, NY)
The Ohio State University &#8212; Columbus (Columbus, OH)
The University of Arizona (Tucson, AZ)
The University of New Mexico (Albuquerque, NM)
The University of Texas at Austin (Austin, TX)
Towson University (Towson, MD)
Tufts University (Medford, MA)
University of California &#8212; Los Angeles (Los Angeles, CA)
University of California, Davis (Davis, CA)
University of California, San Diego (La Jolla, CA)
University of California, Santa Barbara (Santa Barbara, CA)
University of California, Santa Cruz (Santa Cruz, CA)
University of Central Florida (Orlando, FL)
University of Cincinnati (Cincinnati, OH)
University of Colorado Boulder (Boulder, CO)
University of Colorado Colorado Springs (Colorado Springs, CO)
University of Connecticut (Storrs, CT)
University of Delaware (Newark, DE)
University of Houston (Houston, TX)
University of Illinois at Chicago (Chicago, IL)
University of Iowa (Iowa City, IA)
University of Kentucky (Lexington, KY)
University of Louisville (Louisville, KY)
University of Maine &#8212; Farmington (Farmington, ME)
University of Maine at Machias (Machias, ME)
University of Maryland, College Park (College Park, MD)
University of Massachusetts Amherst (Amherst, MA)
University of Miami (Coral Gables, FL)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of Minnesota &#8212; Morris (Morris, MN)
University of Minnesota &#8212; Twin Cities (Minneapolis, MN)
University of Missouri &#8212; Kansas City (Kansas City, MO)
University of Nebraska &#8212; Omaha (Omaha, NE)
University of North Carolina at Greensboro (Greensboro, NC)
University of North Florida (Jacksonville, FL)
University of Northern Colorado (Greeley, CO)
University of Oregon (Eugene, OR)
University of Pennsylvania (Philadelphia, PA)
University of Phoenix (Tempe, AZ)
University of Pittsburgh (Pittsburgh, PA)
University of Southern Maine (Gorham, ME)
University of Texas at Dallas (Richardson, TX)
University of Vermont (Burlington, VT)
University of Virginia (Charlottesville, VA)
University of Washington, Seattle (Seattle, WA)
University of Wisconsin &#8212; Eau Claire (Eau Claire, WI)
University of Wisconsin &#8212; Green Bay (Green Bay, WI)
University of Wisconsin &#8212; Madison (Madison, WI)
University of Wisconsin &#8212; Milwaukee (Milwaukee, WI)
University of Wisconsin &#8212; Oshkosh (Oshkosh, WI)
University of Wisconsin &#8212; Whitewater (Whitewater, WI)
Vanderbilt University (Nashville, TN)
Virginia Commonwealth University (Richmond, VA)
Warren Wilson College (Swannanoa, NC)
Washington State University (Pullman, WA)
Washington University in St. Louis (St. Louis, MO)
Williams College (Williamstown, MA)
Wright State University (Dayton, OH)
