Albertus Magnus College (New Haven, CT)
Alvernia University (Reading, PA)
Alverno College (Milwaukee, WI)
Anna Maria College (Paxton, MA)
Aquinas College (Grand Rapids, MI)
Aquinas College (Nashville, TN)
Assumption College (Worcester, MA)
Ave Maria University (Ave Maria, FL)
Avila University (Kansas City, MO)
Barry University (Miami Shores, FL)
Bayamon Central University (Bayamon, PR)
Bellarmine University (Louisville, KY)
Belmont Abbey College (Belmont, NC)
Benedictine College (Atchison, KS)
Benedictine University (Lisle, IL)
Benedictine University at Mesa (Mesa, AZ)
Boston College (Chestnut Hill, MA)
Brescia University (Owensboro, KY)
Briar Cliff University (Sioux City, IA)
Cabrini College (Radnor, PA)
Caldwell University (Caldwell, NJ)
Calumet College of St. Joseph (Whiting, IN)
Canisius College (Buffalo, NY)
Cardinal Stritch University (Milwaukee, WI)
Carlow University (Pittsburgh, PA)
Carroll College (Helena, MT)
Chaminade University of Honolulu (Honolulu, HI)
Chestnut Hill College (Philadelphia, PA)
Christendom College (Front Royal, VA)
Christian Brothers University (Memphis, TN)
Clarke University (Dubuque, IA)
College of Mount St. Vincent (Riverdale, NY)
College of Saint Benedict (St. Joseph, MN)
College of Saint Elizabeth (Morristown, NJ)
College of St. Mary (Omaha, NE)
College of the Holy Cross (Worcester, MA)
Conception Seminary College (Conception, MO)
Creighton University (Omaha, NE)
D'Youville College (Buffalo, NY)
DePaul University (Chicago, IL)
DeSales University (Center Valley, PA)
Divine Word College (Epworth, IA)
Dominican University (River Forest, IL)
Dominican University of California (San Rafael, CA)
Duquesne University (Pittsburgh, PA)
Edgewood College (Madison, WI)
Elms College (Chicopee, MA)
Emmanuel College (Boston, MA)
Fairfield University (Fairfield, CT)
Felician College (Lodi, NJ)
Fontbonne University (St. Louis, MO)
Fordham University (New York, NY)
Franciscan Missionaries of Our Lady University (Baton Rouge, LA)
Franciscan University of Steubenville (Steubenville, OH)
Gannon University (Erie, PA)
Georgetown University (Washington, DC)
Georgian Court University (Lakewood, NJ)
Gonzaga University (Spokane, WA)
Gwynedd Mercy University (Gwynedd Valley, PA)
Hilbert College (Hamburg, NY)
Holy Apostles College and Seminary (Cromwell, CT)
Holy Cross College (Notre Dame, IN)
Holy Family University (Philadelphia, PA)
Holy Names University (Oakland, CA)
Immaculata University (Immaculata, PA)
Iona College (New Rochelle, NY)
John Carroll University (University Heights, OH)
John Paul the Great Catholic University (Escondido, CA)
King's College (Wilkes-Barre, PA)
La Roche College (Pittsburgh, PA)
La Salle University (Philadelphia, PA)
Le Moyne College (Syracuse, NY)
Lewis University (Romeoville, IL)
Loras College (Dubuque, IA)
Lourdes University (Sylvania, OH)
Loyola Marymount University (Los Angeles, CA)
Loyola University Chicago (Chicago, IL)
Loyola University Maryland (Baltimore, MD)
Loyola University New Orleans (New Orleans, LA)
Madonna University (Livonia, MI)
Magdalen College of the Liberal Arts (Warner, NH)
Manhattan College (Riverdale, NY)
Marian University Indiana (Indianapolis, IN)
Marian University Wisconsin (Fond du Lac, WI)
Marquette University (Milwaukee, WI)
Mary Immaculate College (Limerick, IE)
Marymount California University (Rancho Palos Verdes, CA)
Marymount University (Arlington, VA)
Marywood University (Scranton, PA)
Mercy College of Health Sciences (Des Moines, IA)
Mercyhurst University (Erie, PA)
Merrimack College (North Andover, MA)
Misericordia University (Dallas, PA)
Molloy College (Rockville Centre, NY)
Mount Aloysius College (Cresson, PA)
Mount Angel Seminary (St. Benedict, OR)
Mount Carmel College of Nursing (Columbus, OH)
Mount Marty College (Yankton, SD)
Mount Mary University (Milwaukee, WI)
Mount Mercy University (Cedar Rapids, IA)
Mount Saint Mary College (Newburgh, NY)
Mount Saint Mary's University (Los Angeles, CA)
Mount St. Joseph University (Cincinnati, OH)
Mount St. Joseph University (Cincinnati, OH)
Mount St. Mary's University (Emmitsburg, MD)
Neumann University (Aston, PA)
Newman University (Wichita, KS)
Newman University (Birmingham, UK)
Niagara University (Niagara University, NY)
Notre Dame College of Ohio (Cleveland, OH)
Notre Dame de Namur University (Belmont, CA)
Notre Dame of Maryland University (Baltimore, MD)
Ohio Dominican University (Columbus, OH)
Our Lady of the Lake University (San Antonio, TX)
Pontifical Catholic University of Puerto Rico &#8212; Ponce (Ponce, PR)
Pontifical College Josephinum (Columbus, OH)
Presentation College (Aberdeen, SD)
Providence College (Providence, RI)
Quincy University (Quincy, IL)
Regis College (Weston, MA)
Regis University (Denver, CO)
Resurrection University (Chicago, IL)
Rivier University (Nashua, NH)
Rockhurst University (Kansas City, MO)
Rosemont College (Rosemont, PA)
Sacred Heart Major Seminary (Detroit, MI)
Sacred Heart University (Fairfield, CT)
Saint Anselm College (Manchester, NH)
Saint Francis University (Loretto, PA)
Saint John's University (Collegeville, MN)
Saint Joseph Seminary College (Saint Benedict, LA)
Saint Joseph's College of Maine (Standish, ME)
Saint Joseph's University (Philadelphia, PA)
Saint Leo University (Saint Leo, FL)
Saint Louis University (St. Louis, MO)
Saint Martin's University (Lacey, WA)
Saint Mary's College (Notre Dame, IN)
Saint Mary's College of California (Moraga, CA)
Saint Michael's College (Colchester, VT)
Saint Vincent College (Latrobe, PA)
Salve Regina University (Newport, RI)
Santa Clara University (Santa Clara, CA)
Seattle University (Seattle, WA)
Seton Hall University (South Orange, NJ)
Seton Hill University (Greensburg, PA)
Siena College (Loudonville, NY)
Siena Heights University (Adrian, MI)
Silver Lake College (Manitowoc, WI)
Spalding University (Louisville, KY)
Spring Hill College (Mobile, AL)
St. Ambrose University (Davenport, IA)
St. Anthony College of Nursing (Rockford, IL)
St. Bonaventure University (St. Bonaventure, NY)
St. Catherine University (St. Paul, MN)
St. Edward's University (Austin, TX)
St. Francis College (Brooklyn Heights, NY)
St. Francis Medical Center College of Nursing (Peoria, IL)
St. John Fisher College (Rochester, NY)
St. John Vianney College Seminary (Miami, FL)
St. John's College (Springfield, IL)
St. John's Seminary (Brighton, MA)
St. John's University (Queens, NY)
St. John's University &#8212; Staten Island (Staten Island, NY)
St. Mary's University &#8212; Twickenham (Twickenham, London, UK)
St. Mary's University College (Belfast, Northern Ireland, UK)
St. Mary's University of Minnesota (Winona, MN)
St. Mary's University of San Antonio (San Antonio, TX)
St. Mary&#8211;of&#8211;the&#8211;Woods College (Saint Mary of the Woods, IN)
St. Norbert College (De Pere, WI)
St. Peter's University (Jersey City, NJ)
St. Thomas Aquinas College (Sparkill, NY)
St. Thomas University (Fredericton, New Brunswick, CN)
St. Thomas University (Miami Gardens, FL)
St. Xavier University (Chicago, IL)
Stonehill College (Easton, MA)
The Catholic University of America (Washington, DC)
The College of St. Scholastica (Duluth, MN)
The University of Scranton (Scranton, PA)
Thomas Aquinas College (Santa Paula, CA)
Thomas More College (Crestview Hills, KY)
Thomas More College of Liberal Arts (Merrimack, NH)
Trinity Washington University (Washington, DC)
Universidad del Sagrado Corazon (San Juan, PR)
University of Dallas (Irving, TX)
University of Dayton (Dayton, OH)
University of Detroit Mercy (Detroit, MI)
University of Holy Cross (New Orleans, LA)
University of Mary (Bismarck, ND)
University of Notre Dame (Notre Dame, IN)
University of Portland (Portland, OR)
University of Providence (Great Falls, MT)
University of Saint Francis (Fort Wayne, IN)
University of Saint Joseph (West Hartford, CT)
University of San Diego (San Diego, CA)
University of San Francisco (San Francisco, CA)
University of St. Francis (Joliet, IL)
University of St. Mary (Leavenworth, KS)
University of St. Thomas (St. Paul, MN)
University of St. Thomas (Houston, TX)
University of the Incarnate Word (San Antonio, TX)
Ursuline College (Pepper Pike, OH)
Villanova University (Villanova, PA)
Viterbo University (La Crosse, WI)
Walsh University (North Canton, OH)
Wheeling Jesuit University (Wheeling, WV)
Wyoming Catholic College (Lander, WY)
Xavier University (Cincinnati, OH)
Xavier University of Louisiana (New Orleans, LA)
