Boston College (Chestnut Hill, MA)
Canisius College (Buffalo, NY)
College of the Holy Cross (Worcester, MA)
Creighton University (Omaha, NE)
Fairfield University (Fairfield, CT)
Georgetown University (Washington, DC)
Gonzaga University (Spokane, WA)
John Carroll University (University Heights, OH)
Le Moyne College (Syracuse, NY)
Loyola Marymount University (Los Angeles, CA)
Loyola University New Orleans (New Orleans, LA)
Marquette University (Milwaukee, WI)
Regis University (Denver, CO)
Rockhurst University (Kansas City, MO)
Saint Joseph's University (Philadelphia, PA)
Seattle University (Seattle, WA)
St. Peter's University (Jersey City, NJ)
The University of Scranton (Scranton, PA)
University of Detroit Mercy (Detroit, MI)
University of San Francisco (San Francisco, CA)
Wheeling Jesuit University (Wheeling, WV)
Xavier University (Cincinnati, OH)
