Binghamton University, The State University of New York (Binghamton, NY)
College of Charleston (Charleston, SC)
Indiana University Bloomington (Bloomington, IN)
Rutgers, the State University of New Jersey &#8212; New Brunswick (Piscataway, NJ)
The Ohio State University &#8212; Columbus (Columbus, OH)
The University of Arizona (Tucson, AZ)
The University of Texas at Austin (Austin, TX)
University of Central Florida (Orlando, FL)
University of Florida (Gainesville, FL)
University of Illinois at Urbana&#8211;Champaign (Champaign, IL)
University of Maryland, College Park (College Park, MD)
University of Massachusetts Amherst (Amherst, MA)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of Vermont (Burlington, VT)
University of Wisconsin &#8212; Madison (Madison, WI)
American Jewish University (Bel Air, CA)
American University (Washington, DC)
Barnard College (New York, NY)
Boston University (Boston, MA)
Bradley University (Peoria, IL)
Brandeis University (Waltham, MA)
Clark University (Worcester, MA)
Columbia University (New York, NY)
Cornell University (Ithaca, NY)
Dickinson College (Carlisle, PA)
Drexel University (Philadelphia, PA)
Duke University (Durham, NC)
Elon University (Elon, NC)
Emory University (Atlanta, GA)
Franklin & Marshall College (Lancaster, PA)
Goucher College (Baltimore, MD)
Harvard University (Cambridge, MA)
Hofstra University (Hempstead, NY)
Ithaca College (Ithaca, NY)
Jewish Theological Seminary of America (New York, NY)
Johns Hopkins University (Baltimore, MD)
Lynn University (Boca Raton, FL)
Massachusetts Institute of Technology (Cambridge, MA)
Muhlenberg College (Allentown, PA)
New York University (New York, NY)
Northeastern University (Boston, MA)
Northwestern University (Evanston, IL)
Oberlin College (Oberlin, OH)
Princeton University (Princeton, NJ)
Stanford University (Stanford, CA)
Syracuse University (Syracuse, NY)
The George Washington University (Washington, DC)
The University of Chicago (Chicago, IL)
Touro College (New York, NY)
Trinity College (Hartford, CT)
Tufts University (Medford, MA)
Tulane University (New Orleans, LA)
University of Hartford (West Hartford, CT)
University of Miami (Coral Gables, FL)
University of Pennsylvania (Philadelphia, PA)
University of Rochester (Rochester, NY)
University of Southern California (Los Angeles, CA)
Vanderbilt University (Nashville, TN)
Washington University in St. Louis (St. Louis, MO)
Wesleyan University (Middletown, CT)
Yale University (New Haven, CT)
Yeshiva University (New York, NY)
