Arizona State University (Tempe, AZ)
California University of Pennsylvania (California, PA)
Cornell University (Ithaca, NY)
Creighton University (Omaha, NE)
Florida Institute of Technology (Melbourne, FL)
Georgia Institute of Technology (Atlanta, GA)
Iowa State University (Ames, IA)
Lyndon State College (Lyndonville, VT)
Massachusetts Maritime Academy (Buzzards Bay, MA)
Massachusetts, University of, Lowell (Lowell, MA)
Millersville University of Pennsylvania (Millersville, PA)
Mississippi State University (Mississippi State, MS)
North Carolina State University &#8212; Raleigh (Raleigh, NC)
Northern Illinois University (DeKalb, IL)
Northland College (Ashland, WI)
Old Dominion University (Norfolk, VA)
Pennsylvania State University &#8212; University Park (University Park, PA)
Plymouth State University (Plymouth, NH)
Purdue University &#8212; West Lafayette (West Lafayette, IN)
Rutgers, the State University of New Jersey &#8212; New Brunswick (Piscataway, NJ)
SUNY &#8212; Albany (Albany, NY)
SUNY &#8212; Oswego (Oswego, NY)
SUNY College &#8212; Brockport (Brockport, NY)
SUNY College at Oneonta (Oneonta, NY)
South Dakota School of Mines and Technology (Rapid City, SD)
St. Louis University (St. Louis, MO)
Texas A&M University &#8212; College Station (College Station, TX)
The Florida State University (Tallahassee, FL)
The University of Arizona (Tucson, AZ)
The University of Utah (Salt Lake City, UT)
University of Kansas (Lawrence, KS)
University of Maryland, College Park (College Park, MD)
University of Miami (Coral Gables, FL)
University of Nebraska &#8212; Lincoln (Lincoln, NE)
University of Oklahoma (Norman, OK)
Valparaiso University (Valparaiso, IN)
Western Connecticut State University (Danbury, CT)
Western Kentucky University (Bowling Green, KY)
