Webb Institute (Glen Cove, NY): 100%
Capitol College (Laurel, MD): 91%
Kettering University (Flint, MI): 87%
Colorado School of Mines (Golden, CO): 84%
Milwaukee School of Engineering (Milwaukee, WI): 84%
Rose&#8211;Hulman Institute of Technology (Terre Haute, IN): 83%
Polytechnic University of Puerto Rico (Hato Rey, PR): 82%
Stevens Institute of Technology (Hoboken, NJ): 80%
South Dakota School of Mines and Technology (Rapid City, SD): 79%
Missouri University of Science and Technology (Rolla, MO): 73%
Michigan Technological University (Houghton, MI): 69%
Worcester Polytechnic Institute (Worcester, MA): 69%
Illinois Institute of Technology (Chicago, IL): 65%
Montana Tech of the University of Montana (Butte, MT): 56%
Clarkson University (Potsdam, NY): 54%
Rensselaer Polytechnic Institute (Troy, NY): 53%
New York University (New York, NY): 52%
New Jersey Institute of Technology (Newark, NJ): 52%
Oregon Institute of Technology (Klamath Falls, OR): 50%
The Cooper Union (New York, NY): 50%
California Institute of Technology (Pasadena, CA): 48%
LeTourneau University (Longview, TX): 44%
Trine University (Angola, IN): 44%
Florida Institute of Technology (Melbourne, FL): 43%
New Mexico Institute of Mining and Technology (Socorro, NM): 42%
West Virginia University Institute of Technology (Montgomery, WV): 42%
Massachusetts Institute of Technology (Cambridge, MA): 41%
Vermont Technical College (Randolph Center, VT): 37%
University of Wisconsin &#8212; Platteville (Platteville, WI): 39%
Arizona State University (Tempe, AZ): 36%
Harvey Mudd College (Claremont, CA): 36%
Case Western Reserve University (Cleveland, OH): 35%
United States Coast Guard Academy (New London, CT): 35%
United States Naval Academy (Annapolis, MD): 35%
Pennsylvania State &#8212; Erie, The Behrend College (Erie, PA): 30%
Embry&#8211;Riddle Aeronautical University &#8212; Daytona Beach (Daytona Beach, FL): 29%
Lehigh University (Bethlehem, PA): 28%
New Mexico Highlands University (Las Vegas, NM): 27%
Bluefield State College (Bluefield, WV): 26%
Carnegie Mellon University (Pittsburgh, PA): 26%
Tennessee Technological University (Cookeville, TN): 25%
University of Alabama, Huntsville (Huntsville, AL): 25%
Virginia Military Institute (Lexington, VA): 25%
United States Air Force Academy (USAF Academy, CO): 24%
Pennsylvania State University &#8212; Altoona (Altoona, PA): 23%
Pennsylvania State University &#8212; Berks (Reading, PA): 22%
Embry&#8211;Riddle Aeronautical University &#8212; Daytona Beach (Daytona Beach, FL): 22%
The American University in Cairo (11511 Cairo, EG): 22%
Lafayette College (Easton, PA): 21%
Alfred University (Alfred, NY): 19%
Pennsylvania State University &#8212; Harrisburg (Middletown, PA): 19%
Walla Walla University (College Place, WA): 19%
Manhattan College (Riverdale, NY): 18%
University of New Haven (West Haven, CT): 18%
University of Wisconsin &#8212; Stout (Menomonie, WI): 18%
Mercer University (Macon, GA): 17%
Texas A&M University &#8212; Kingsville (Kingsville, TX): 17%
The University of Tulsa (Tulsa, OK): 17%
University of Dayton (Dayton, OH): 17%
Bucknell University (Lewisburg, PA): 16%
Princeton University (Princeton, NJ): 16%
University of Maine (Orono, ME): 16%
Vanderbilt University (Nashville, TN): 16%
