American University (Washington, DC)
Brown University (Providence, RI)
Columbia University (New York, NY)
Earlham College (Richmond, IN)
Georgetown University (Washington, DC)
Haverford College (Haverford, PA)
Macalester College (St. Paul, MN)
Oberlin College (Oberlin, OH)
The George Washington University (Washington, DC)
Tufts University (Medford, MA)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
Bennington College (Bennington, VT)
Biola University (La Mirada, CA)
Brandeis University (Waltham, MA)
Carleton College (Northfield, MN)
Claremont McKenna College (Claremont, CA)
Davidson College (Davidson, NC)
Dickinson College (Carlisle, PA)
Drew University (Madison, NJ)
Franklin & Marshall College (Lancaster, PA)
Goucher College (Baltimore, MD)
Grinnell College (Grinnell, IA)
Harvard University (Cambridge, MA)
Kenyon College (Gambier, OH)
Lafayette College (Easton, PA)
Middlebury College (Middlebury, VT)
New York University (New York, NY)
Occidental College (Los Angeles, CA)
Pitzer College (Claremont, CA)
Pomona College (Claremont, CA)
Princeton University (Princeton, NJ)
Reed College (Portland, OR)
Sarah Lawrence College (Bronxville, NY)
Stanford University (Stanford, CA)
Swarthmore College (Swarthmore, PA)
University of California, Berkeley (Berkeley, CA)
University of Chicago (Chicago, IL)
University of Pennsylvania (Philadelphia, PA)
University of Richmond (University of Richmond, VA)
University of Rochester (Rochester, NY)
Vassar College (Poughkeepsie, NY)
Wesleyan University (Middletown, CT)
Yale University (New Haven, CT)
