Arizona State University (Tempe, AZ)
Augsburg College (Minneapolis, MN)
Ball State University (Muncie, IN)
Case Western Reserve University (Cleveland, OH)
Champlain College (Burlington, VT)
Chapman University (Orange, CA)
Clark University (Worcester, MA)
Connecticut College (New London, CT)
Curry College (Milton, MA)
Daemen College (Amherst, NY)
DePaul University (Chicago, IL)
Dean College (Franklin, MA)
Earlham College (Richmond, IN)
Eckerd College (St. Petersburg, FL)
Goucher College (Baltimore, MD)
Guilford College (Greensboro, NC)
Hartwick College (Oneonta, NY)
Hillsdale College (Hillsdale, MI)
Hobart and William Smith Colleges (Geneva, NY)
Ithaca College (Ithaca, NY)
Lake Forest College (Lake Forest, IL)
Lehigh University (Bethlehem, PA)
Lewis and Clark College (Portland, OR)
Linfield College (McMinnville, OR)
Loyola University Chicago (Chicago, IL)
Lynchburg College (Lynchburg, VA)
Lynn University (Boca Raton, FL)
Mitchell College (New London, CT)
Northern Arizona University (Flagstaff, AZ)
Northern Michigan University (Marquette, MI)
Roanoke College (Salem, VA)
Rutgers, the State University of New Jersey &#8212; New Brunswick (Piscataway, NJ)
St. Andrews University (Laurinburg, NC)
St. Lawrence University (Canton, NY)
Texas Tech University (Lubbock, TX)
The University of Arizona (Tucson, AZ)
University of Oregon (Eugene, OR)
University of Rochester (Rochester, NY)
Warren Wilson College (Asheville, NC)
Willamette University (Salem, OR)
Worcester Polytechnic Institute (Worcester, MA)
