Beloit College (Beloit, WI)
Connecticut College (New London, CT)
Elon University (Elon, NC)
Franklin & Marshall College (Lancaster, PA)
Kenyon College (Gambier, OH)
Ohio Wesleyan University (Delaware, OH)
University of Redlands (Redlands, CA)
Wheaton College (Norton, MA)
Allegheny College (Meadville, PA)
Bard College (Annandale on Hudson, NY)
Bates College (Lewiston, ME)
Bentley University (Waltham, MA)
Clark University (Worcester, MA)
Colgate University (Hamilton, NY)
Dominican University (River Forest, IL)
Earlham College (Richmond, IN)
Eckerd College (St. Petersburg, FL)
Furman University (Greenville, SC)
Goucher College (Baltimore, MD)
Grinnell College (Grinnell, IA)
Hamilton College (Clinton, NY)
Hartwick College (Oneonta, NY)
Hollins University (Roanoke, VA)
Lafayette College (Easton, PA)
Lewis and Clark College (Portland, OR)
Loyola University Maryland (Baltimore, MD)
Lynchburg College (Lynchburg, VA)
McDaniel College (Westminster, MD)
Middlebury College (Middlebury, VT)
Muhlenberg College (Allentown, PA)
New College of Florida (Sarasota, FL)
Notre Dame de Namur University (Belmont, CA)
Oberlin College (Oberlin, OH)
Occidental College (Los Angeles, CA)
Rider University (Lawrenceville, NJ)
Skidmore College (Saratoga Springs, NY)
St. Martin's University (Lacey, WA)
Sweet Briar College (Sweet Briar, VA)
The College of Wooster (Wooster, OH)
Tufts University (Medford, MA)
Union University (Jackson, TN)
Warren Wilson College (Asheville, NC)
Whitman College (Walla Walla, WA)
Whittier College (Whittier, CA)
Willamette University (Salem, OR)
Wittenberg University (Springfield, OH)
