Allegheny College (Meadville, PA)
Arcadia University (Glenside, PA)
Auburn University (Auburn, AL)
Augsburg University (Minneapolis, MN)
Beacon College (Leesburg, FL)
Boston University (Boston, MA)
Brevard College (Brevard, NC)
California Polytechnic State University, San Luis Obispo (San Luis Obispo, CA)
Case Western Reserve University (Cleveland, OH)
Clark University (Worcester, MA)
Davidson College (Davidson, NC)
DeSales University (Center Valley, PA)
Dickinson College (Carlisle, PA)
Earlham College (Richmond, IN)
East Stroudsburg University of Pennsylvania (East Stroudsburg, PA)
Eastern Michigan University (Ypsilanti, MI)
Elon University (Elon, NC)
Florida Atlantic University (Boca Raton, FL)
Fort Lewis College (Durango, CO)
Franklin Pierce University (Rindge, NH)
George Mason University (Fairfax, VA)
Goucher College (Baltimore, MD)
Grinnell College (Grinnell, IA)
Guilford College (Greensboro, NC)
Hartwick College (Oneonta, NY)
Harvey Mudd College (Claremont, CA)
Hiram College (Hiram, OH)
Hofstra University (Hempstead, NY)
Holy Family University (Philadelphia, PA)
Indiana Wesleyan University (Marion, IN)
Johnson & Wales University (Providence, RI)
Johnson & Wales University at Denver (Denver, CO)
Keene State College (Keene, NH)
Landmark College (Putney, VT)
Lasell College (Newton, MA)
Lebanon Valley College (Annville, PA)
Lesley University (Cambridge, MA)
Limestone College (Gaffney, SC)
Lynn University (Boca Raton, FL)
Manhattanville College (Purchase, NY)
Marymount Manhattan College (New York, NY)
Massachusetts Institute of Technology (Cambridge, MA)
McDaniel College (Westminster, MD)
Moravian College (Bethlehem, PA)
Muskingum University (New Concord, OH)
Pine Manor College (Chestnut Hill, MA)
Rensselaer Polytechnic Institute (Troy, NY)
Rider University (Lawrenceville, NJ)
Rowan University (Glassboro, NJ)
Sacred Heart University (Fairfield, CT)
Southern Illinois University &#8212; Carbondale (Carbondale, IL)
Southern New Hampshire University (Manchester, NH)
St. John's College (Annapolis, MD)
St. John's College (Santa Fe, NM)
Stevens Institute of Technology (Hoboken, NJ)
Swarthmore College (Swarthmore, PA)
Temple University (Philadelphia, PA)
University of Colorado Boulder (Boulder, CO)
University of Denver (Denver, CO)
University of Pennsylvania (Philadelphia, PA)
University of Puget Sound (Tacoma, WA)
University of Redlands (Redlands, CA)
University of Tennessee at Chattanooga (Chattanooga, TN)
University of the Ozarks (Clarksville, AR)
Ursinus College (Collegeville, PA)
Western New England University (Springfield, MA)
Westminster College (Salt Lake City, UT)
Whitman College (Walla Walla, WA)
Whittier College (Whittier, CA)
Wilkes University (Wilkes-Barre, PA)
Worcester Polytechnic Institute (Worcester, MA)
