Albion College (Albion, MI)
Albright College (Reading, PA)
Alfred State College (Alfred, NY)
Arcadia University (Glenside, PA)
Austin College (Sherman, TX)
Berea College (Berea, KY)
Birmingham&#8211;Southern College (Birmingham, AL)
Bradley University (Peoria, IL)
Bryant University (Smithfield, RI)
Butler University (Indianapolis, IN)
California State University &#8212; Chico (Chico, CA)
Champlain College (Burlington, VT)
Coastal Carolina University (Conway, SC)
Coe College (Cedar Rapids, IA)
College of Charleston (Charleston, SC)
Colorado State University (Fort Collins, CO)
Concordia University Wisconsin (Mequon, WI)
Coppin State University (Baltimore, MD)
Cornell College (Mount Vernon, IA)
Creighton University (Omaha, NE)
DePaul University (Chicago, IL)
Duquesne University (Pittsburgh, PA)
Eckerd College (St. Petersburg, FL)
Ferris State University (Big Rapids, MI)
Franklin Pierce University (Rindge, NH)
George Mason University (Fairfax, VA)
Hampden&#8211;Sydney College (Hampden-Sydney, VA)
Hartwick College (Oneonta, NY)
Hawaii Pacific University (Honolulu, HI)
Hillsdale College (Hillsdale, MI)
Hollins University (Roanoke, VA)
Hood College (Frederick, MD)
Hope College (Holland, MI)
Illinois College (Jacksonville, IL)
Illinois Institute of Technology (Chicago, IL)
Jacksonville University (Jacksonville, FL)
Lake Forest College (Lake Forest, IL)
Lesley University (Cambridge, MA)
Linfield College (McMinnville, OR)
Loyola University Chicago (Chicago, IL)
Loyola University New Orleans (New Orleans, LA)
Manhattan College (Riverdale, NY)
Manhattanville College (Purchase, NY)
Marymount Manhattan College (New York, NY)
McDaniel College (Westminster, MD)
Merrimack College (North Andover, MA)
Millsaps College (Jackson, MS)
Missouri University of Science and Technology (Rolla, MO)
Moravian College (Bethlehem, PA)
Muskingum University (New Concord, OH)
New Jersey Institute of Technology (Newark, NJ)
Northern Arizona University (Flagstaff, AZ)
Oglethorpe University (Atlanta, GA)
Oklahoma State University (Stillwater, OK)
Old Dominion University (Norfolk, VA)
Ouachita Baptist University (Arkadelphia, AR)
Pacific Lutheran University (Tacoma, WA)
Randolph College (Lynchburg, VA)
Regis University (Denver, CO)
Roanoke College (Salem, VA)
Roger Williams University (Bristol, RI)
SUNY College at Oneonta (Oneonta, NY)
Sacred Heart University (Fairfield, CT)
Saint Anselm College (Manchester, NH)
Saint Joseph's University (Philadelphia, PA)
Salve Regina University (Newport, RI)
Shippensburg University of Pennsylvania (Shippensburg, PA)
Southern Oregon University (Ashland, OR)
St. Bonaventure University (St. Bonaventure, NY)
St. John's College (Annapolis, MD)
St. John's College (Santa Fe, NM)
St. Mary's College of California (Moraga, CA)
Stetson University (Deland, FL)
Susquehanna University (Selinsgrove, PA)
The Florida State University (Tallahassee, FL)
The University of Alabama (Tuscaloosa, AL)
The University of Arizona (Tucson, AZ)
The University of New Mexico (Albuquerque, NM)
The University of Utah (Salt Lake City, UT)
University of Central Florida (Orlando, FL)
University of Cincinnati (Cincinnati, OH)
University of Dayton (Dayton, OH)
University of Hartford (West Hartford, CT)
University of Iowa (Iowa City, IA)
University of Kentucky (Lexington, KY)
University of Louisiana at Lafayette (Lafayette, LA)
University of Maine (Orono, ME)
University of Mary Washington (Fredericksburg, VA)
University of Nevada, Las Vegas (Las Vegas, NV)
University of New Hampshire (Durham, NH)
University of Northern Colorado (Greeley, CO)
University of Oklahoma (Norman, OK)
University of Rhode Island (Kingston, RI)
University of South Florida (Tampa, FL)
University of Tennessee at Knoxville (Knoxville, TN)
Virginia Commonwealth University (Richmond, VA)
Virginia Military Institute (Lexington, VA)
Virginia Wesleyan College (Norfolk, VA)
Wagner College (Staten Island, NY)
Washington & Jefferson College (Washington, PA)
Washington College (Chestertown, MD)
Washington State University (Pullman, WA)
West Chester University of Pennsylvania (West Chester, PA)
West Virginia University (Morgantown, WV)
Westminster College (Salt Lake City, UT)
Whittier College (Whittier, CA)
Widener University (Chester, PA)
William Jewell College (Liberty, MO)
Wingate University (Wingate, NC)
Wisconsin Lutheran College (Milwaukee, WI)
Wittenberg University (Springfield, OH)
