Bard College (Annandale on Hudson, NY)
Brown University (Providence, RI)
Colorado College (Colorado Springs, CO)
Hampshire College (Amherst, MA)
Oberlin College (Oberlin, OH)
Reed College (Portland, OR)
Sarah Lawrence College (Bronxville, NY)
St. John's College (Annapolis, MD)
St. John's College (Santa Fe, NM)
The Evergreen State College (Olympia, WA)
University of Chicago (Chicago, IL)
University of Redlands (Redlands, CA)
Amherst College (Amherst, MA)
Bates College (Lewiston, ME)
Bennington College (Bennington, VT)
Boston University (Boston, MA)
Bryn Mawr College (Bryn Mawr, PA)
California Institute of Technology (Pasadena, CA)
Carnegie Mellon University (Pittsburgh, PA)
Clark University (Worcester, MA)
Columbia University (New York, NY)
Cornell University (Ithaca, NY)
Eugene Lang College The New School for Liberal Arts (New York, NY)
Guilford College (Greensboro, NC)
Hamilton College (Clinton, NY)
Harvard University (Cambridge, MA)
Haverford College (Haverford, PA)
Kalamazoo College (Kalamazoo, MI)
Kenyon College (Gambier, OH)
Knox College (Galesburg, IL)
Macalester College (St. Paul, MN)
Massachusetts Institute of Technology (Cambridge, MA)
McGill University (Montreal, CAN)
Michigan State University (East Lansing, MI)
New College of Florida (Sarasota, FL)
New York University (New York, NY)
Northeastern University (Boston, MA)
Ohio State University &#8212; Columbus (Columbus, OH)
Pennsylvania State University &#8212; University Park (University Park, PA)
Pitzer College (Claremont, CA)
Princeton University (Princeton, NJ)
Purdue University &#8212; West Lafayette (West Lafayette, IN)
Sewanee: The University of the South (Sewanee, TN)
Stanford University (Stanford, CA)
Swarthmore College (Swarthmore, PA)
The College of Wooster (Wooster, OH)
The George Washington University (Washington, DC)
The University of Texas at Austin (Austin, TX)
University of California &#8212; Los Angeles (Los Angeles, CA)
University of California, Berkeley (Berkeley, CA)
University of California, San Diego (La Jolla, CA)
University of Florida (Gainesville, FL)
University of Illinois at Urbana&#8211;Champaign (Champaign, IL)
University of Maryland, College Park (College Park, MD)
University of Massachusetts Amherst (Amherst, MA)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of South Florida (Tampa, FL)
Vassar College (Poughkeepsie, NY)
Washington University in St. Louis (St. Louis, MO)
Whitman College (Walla Walla, WA)
Yale University (New Haven, CT)
