Allegheny College (Meadville, PA)
Alma College (Alma, MI)
Augustana College (Rock Island, IL)
Austin College (Sherman, TX)
Azusa Pacific University (Azusa, CA)
Bates College (Lewiston, ME)
Biola University (La Mirada, CA)
Birmingham&#8211;Southern College (Birmingham, AL)
Bryn Mawr College (Bryn Mawr, PA)
Buena Vista University (Storm Lake, IA)
Central College (Pella, IA)
College of Mount St. Vincent (Riverdale, NY)
College of St. Benedict (St. Joseph, MN)
Cornell College (Mount Vernon, IA)
Dean College (Franklin, MA)
Eckerd College (St. Petersburg, FL)
Elizabethtown College (Elizabethtown, PA)
Elms College (Chicopee, MA)
Gustavus Adolphus College (St. Peter, MN)
Hampden&#8211;Sydney College (Hampden-Sydney, VA)
Hanover College (Hanover, IN)
Harvey Mudd College (Claremont, CA)
Haverford College (Haverford, PA)
Hendrix College (Conway, AR)
Hillsdale College (Hillsdale, MI)
Hiram College (Hiram, OH)
Hollins University (Roanoke, VA)
Hood College (Frederick, MD)
Illinois Wesleyan University (Bloomington, IL)
Knox College (Galesburg, IL)
Lenoir&#8211;Rhyne University (Hickory, NC)
Lewis and Clark College (Portland, OR)
Loras College (Dubuque, IA)
Luther College (Decorah, IA)
Lyndon State College (Lyndonville, VT)
Marietta College (Marietta, OH)
Marymount California University (Rancho Palos Verdes, CA)
Mount St. Mary's College (Los Angeles, CA)
Otterbein University (Westerville, OH)
Saint Anselm College (Manchester, NH)
Scripps College (Claremont, CA)
Simmons College (Boston, MA)
Spring Hill College (Mobile, AL)
St. Andrews University (Laurinburg, NC)
St. John's University (Collegeville, MN)
St. Mary's University of Minnesota (Winona, MN)
Stetson University (Deland, FL)
University of Dallas (Irving, TX)
University of Minnesota &#8212; Morris (Morris, MN)
Wartburg College (Waverly, IA)
Western State College of Colorado (Gunnison, CO)
Westmont College (Santa Barbara, CA)
Wheaton College (Wheaton, IL)
Wittenberg University (Springfield, OH)
