Allegheny College (Meadville, PA)
Alma College (Alma, MI)
Augsburg College (Minneapolis, MN)
Bard College (Annandale on Hudson, NY)
Bates College (Lewiston, ME)
Beloit College (Beloit, WI)
Bennington College (Bennington, VT)
Berea College (Berea, KY)
Brown University (Providence, RI)
CUNY &#8212; City College (New York, NY)
Clark University (Worcester, MA)
Connecticut College (New London, CT)
Cornell University (Ithaca, NY)
DePaul University (Chicago, IL)
Earlham College (Richmond, IN)
Emerson College (Boston, MA)
Eugene Lang College The New School for Liberal Arts (New York, NY)
Georgetown University (Washington, DC)
Grinnell College (Grinnell, IA)
Guilford College (Greensboro, NC)
Hampshire College (Amherst, MA)
Humboldt State University (Arcata, CA)
Johnson & Wales University at Denver (Denver, CO)
Lesley University (Cambridge, MA)
Lewis and Clark College (Portland, OR)
Macalester College (St. Paul, MN)
Marquette University (Milwaukee, WI)
Mills College (Oakland, CA)
Mount Holyoke College (South Hadley, MA)
New College of Florida (Sarasota, FL)
New Jersey Institute of Technology (Newark, NJ)
New York University (New York, NY)
Northwestern University (Evanston, IL)
Oberlin College (Oberlin, OH)
Pitzer College (Claremont, CA)
Quinnipiac University (Hamden, CT)
Reed College (Portland, OR)
SUNY &#8212; Old Westbury (Old Westbury, NY)
SUNY &#8212; Purchase College (Purchase, NY)
SUNY &#8212; Stony Brook (Stony Brook, NY)
San Francisco State University (San Francisco, CA)
Sarah Lawrence College (Bronxville, NY)
Seattle University (Seattle, WA)
Simmons College (Boston, MA)
Skidmore College (Saratoga Springs, NY)
Smith College (Northampton, MA)
Spelman College (Atlanta, GA)
Stanford University (Stanford, CA)
Swarthmore College (Swarthmore, PA)
Syracuse University (Syracuse, NY)
Temple University (Philadelphia, PA)
The Evergreen State College (Olympia, WA)
The George Washington University (Washington, DC)
The University of Montana (Missoula, MT)
The University of Texas at Austin (Austin, TX)
Trinity University (San Antonio, TX)
University of California, Berkeley (Berkeley, CA)
University of California, Santa Barbara (Santa Barbara, CA)
University of California, Santa Cruz (Santa Cruz, CA)
University of Colorado, Boulder (Boulder, CO)
University of Kansas (Lawrence, KS)
University of Maryland, College Park (College Park, MD)
University of Massachusetts Amherst (Amherst, MA)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of San Francisco (San Francisco, CA)
University of South Florida (Tampa, FL)
University of Vermont (Burlington, VT)
University of Wisconsin &#8212; Madison (Madison, WI)
Vassar College (Poughkeepsie, NY)
Warren Wilson College (Asheville, NC)
Wellesley College (Wellesley, MA)
Wesleyan University (Middletown, CT)
