Carnegie Mellon University (Pittsburgh, PA)
Claremont McKenna College (Claremont, CA)
Columbia University (New York, NY)
Harvard University (Cambridge, MA)
Massachusetts Institute of Technology (Cambridge, MA)
Northwestern University (Evanston, IL)
Pomona College (Claremont, CA)
Princeton University (Princeton, NJ)
Stanford University (Stanford, CA)
University of Chicago (Chicago, IL)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of Pennsylvania (Philadelphia, PA)
Villanova University (Villanova, PA)
Allegheny College (Meadville, PA)
American University (Washington, DC)
Bates College (Lewiston, ME)
Bentley University (Waltham, MA)
Boston College (Chestnut Hill, MA)
Bowdoin College (Brunswick, ME)
Brown University (Providence, RI)
Denison University (Granville, OH)
Haverford College (Haverford, PA)
Occidental College (Los Angeles, CA)
Swarthmore College (Swarthmore, PA)
The College of Wooster (Wooster, OH)
University of California &#8212; Los Angeles (Los Angeles, CA)
University of California, Berkeley (Berkeley, CA)
University of Washington, Seattle (Seattle, WA)
Wesleyan University (Middletown, CT)
Williams College (Williamstown, MA)
Yale University (New Haven, CT)
