Babson College (Babson Park, MA)
Bentley University (Waltham, MA)
Bryant University (Smithfield, RI)
Emory University (Atlanta, GA)
Lafayette College (Easton, PA)
New York University (New York, NY)
University of California, Berkeley (Berkeley, CA)
University of Chicago (Chicago, IL)
University of Illinois at Urbana&#8211;Champaign (Champaign, IL)
University of Miami (Coral Gables, FL)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of Pennsylvania (Philadelphia, PA)
University of Southern California (Los Angeles, CA)
College of William and Mary (Williamsburg, VA)
Fairfield University (Fairfield, CT)
Georgetown University (Washington, DC)
Harvard University (Cambridge, MA)
Lehigh University (Bethlehem, PA)
Massachusetts Institute of Technology (Cambridge, MA)
Miami University &#8212; Oxford (Oxford, OH)
Syracuse University (Syracuse, NY)
The University of Texas at Austin (Austin, TX)
Tulane University (New Orleans, LA)
University of Virginia (Charlottesville, VA)
Wake Forest University (Winston Salem, NC)
