Bloomsburg University of Pennsylvania (Bloomsburg, PA)
CUNY &#8212; Brooklyn College (Brooklyn, NY)
CUNY &#8212; Lehman College (Bronx, NY)
Duquesne University (Pittsburgh, PA)
East Carolina University (Greenville, NC)
Emerson College (Boston, MA)
Fontbonne University (St. Louis, MO)
Geneva College (Beaver Falls, PA)
Indiana University of Pennsylvania (Indiana, PA)
Iona College (New Rochelle, NY)
Ithaca College (Ithaca, NY)
James Madison University (Harrisonburg, VA)
La Salle University (Philadelphia, PA)
Long Island University &#8212; Brooklyn (Brooklyn, NY)
Longwood University (Farmville, VA)
Loyola University Maryland (Baltimore, MD)
Marywood University (Scranton, PA)
New York University (New York, NY)
Pennsylvania State University &#8212; University Park (University Park, PA)
SUNY &#8212; Geneseo (Geneseo, NY)
SUNY &#8212; University at Buffalo (Buffalo, NY)
Syracuse University (Syracuse, NY)
The College of St. Rose (Albany, NY)
Towson University (Towson, MD)
University of Connecticut (Storrs, CT)
University of Iowa (Iowa City, IA)
University of Louisiana at Lafayette (Lafayette, LA)
University of Maine (Orono, ME)
University of Massachusetts Amherst (Amherst, MA)
University of Rhode Island (Kingston, RI)
University of Vermont (Burlington, VT)
University of the Pacific (Stockton, CA)
Worcester State University (Worcester, MA)
