Arizona State University (Tempe, AZ)
Carnegie Mellon University (Pittsburgh, PA)
DigiPen Institute of Technology (Redmond, WA)
Full Sail University (Winter Park, FL)
Georgia Institute of Technology (Atlanta, GA)
Massachusetts Institute of Technology (Cambridge, MA)
Pennsylvania State University &#8212; University Park (University Park, PA)
Princeton University (Princeton, NJ)
Rensselaer Polytechnic Institute (Troy, NY)
Rochester Institute of Technology (Rochester, NY)
The University of Texas at Austin (Austin, TX)
University of California &#8212; Los Angeles (Los Angeles, CA)
University of California, Irvine (Irvine, CA)
University of Michigan &#8212; Dearborn (Dearborn, MI)
University of Minnesota &#8212; Twin Cities (Minneapolis, MN)
University of Nebraska &#8212; Lincoln (Lincoln, NE)
University of Southern California (Los Angeles, CA)
University of Virginia (Charlottesville, VA)
Virginia Polytechnic Institute and State University (Blacksburg, VA)
