Amherst College (Amherst, MA)
Bates College (Lewiston, ME)
Bucknell University (Lewisburg, PA)
Carleton College (Northfield, MN)
Colby College (Waterville, ME)
Connecticut College (New London, CT)
Middlebury College (Middlebury, VT)
Mount Holyoke College (South Hadley, MA)
Oberlin College (Oberlin, OH)
Pomona College (Claremont, CA)
Smith College (Northampton, MA)
Wellesley College (Wellesley, MA)
Wesleyan University (Middletown, CT)
Whitman College (Walla Walla, WA)
Williams College (Williamstown, MA)
