Allegheny College (Meadville, PA)
Augsburg College (Minneapolis, MN)
Bates College (Lewiston, ME)
Berea College (Berea, KY)
Berry College (Mount Berry, GA)
Birmingham&#8211;Southern College (Birmingham, AL)
Carson&#8211;Newman University (Jefferson City, TN)
Centre College (Danville, KY)
Christopher Newport University (Newport News, VA)
College of Charleston (Charleston, SC)
College of Saint Benedict (St. Joseph, MN)
Concord University (Athens, WV)
Converse College (Spartanburg, SC)
Davidson College (Davidson, NC)
DePauw University (Greencastle, IN)
Earlham College (Richmond, IN)
Edgewood College (Madison, WI)
Emory & Henry College (Emory, VA)
Guilford College (Greensboro, NC)
High Point University (High Point, NC)
Lindsey Wilson College (Columbia, KY)
Lynchburg College (Lynchburg, VA)
Macalester College (St. Paul, MN)
Mars Hill University (Mars Hill, NC)
Maryville College (Maryville, TN)
Middlesex County College (Edison, NJ)
Montclair State University (Montclair, NJ)
Morehouse College (Atlanta, GA)
Notre Dame of Maryland University (Baltimore, MD)
Oberlin College (Oberlin, OH)
Our Lady of the Lake College (Baton Rouge, LA)
Pfeiffer University (Misenheimer, NC)
Rhodes College (Memphis, TN)
Rider University (Lawrenceville, NJ)
Rollins College (Winter Park, FL)
Rutgers, the State University of New Jersey &#8212; Camden (Camden, NJ)
Rutgers, the State University of New Jersey &#8212; New Brunswick (Piscataway, NJ)
Rutgers, the State University of New Jersey &#8212; Newark (Newark, NJ)
Sewanee: The University of the South (Sewanee, TN)
Siena College (Loudonville, NY)
Sonoma State University (Rohnert Park, CA)
Spelman College (Atlanta, GA)
Stetson University (Deland, FL)
The College of New Jersey (Ewing, NJ)
The University of New Mexico (Albuquerque, NM)
The University of Tampa (Tampa, FL)
Tusculum College (Greeneville, TN)
Union College (Barbourville, KY)
University of California, Berkeley (Berkeley, CA)
University of Houston (Houston, TX)
University of North Carolina at Chapel Hill (Chapel Hill, NC)
University of Richmond (University of Richmond, VA)
Ursinus College (Collegeville, PA)
Wagner College (Staten Island, NY)
Warren Wilson College (Swannanoa, NC)
Washburn University (Topeka, KS)
Washington and Lee University (Lexington, VA)
Waynesburg University (Waynesburg, PA)
Widener University (Chester, PA)
Wofford College (Spartanburg, SC)
