Albright College (Reading, PA)
Augustana College (Rock Island, IL)
Augustana University (Sioux Falls, SD)
Austin College (Sherman, TX)
Baker University (Baldwin City, KS)
Baptist Missionary Association Theological Seminary (Jacksonville, TX)
Bethany College (Lindsborg, KS)
Bethel College (North Newton, KS)
Bethel University (St. Paul, MN)
Birmingham&#8211;Southern College (Birmingham, AL)
Bloomsburg University of Pennsylvania (Bloomsburg, PA)
Buena Vista University (Storm Lake, IA)
CUNY &#8212; Queens College (Queens, NY)
Calvin University (Grand Rapids, MI)
Carthage College (Kenosha, WI)
Centre College (Danville, KY)
Chapman University (Orange, CA)
Chicago State University (Chicago, IL)
Columbia College Chicago (Chicago, IL)
Concordia University Wisconsin (Mequon, WI)
Converse College (Spartanburg, SC)
Dallas Baptist University (Dallas, TX)
Eckerd College (St. Petersburg, FL)
Elmhurst College (Elmhurst, IL)
Elon University (Elon, NC)
Endicott College (Beverly, MA)
Erskine College (Due West, SC)
Franklin College (Franklin, IN)
Greenville University (Greenville, IL)
Gustavus Adolphus College (St. Peter, MN)
Hamline University (St. Paul, MN)
Hartwick College (Oneonta, NY)
Hastings College (Hastings, NE)
Hollins University (Roanoke, VA)
Hope International University (Fullerton, CA)
Huntington University (Huntington, IN)
Johns Hopkins University (Baltimore, MD)
Kentucky Mountain Bible College (Jackson, KY)
Keuka College (Keuka Park, NY)
LaGrange College (LaGrange, GA)
Linfield College (McMinnville, OR)
Luther College (Decorah, IA)
Manchester University (North Manchester, IN)
Maryville College (Maryville, TN)
Massachusetts Institute of Technology (Cambridge, MA)
McDaniel College (Westminster, MD)
McPherson College (McPherson, KS)
Middlebury College (Middlebury, VT)
Midland University (Fremont, NE)
Millersville University of Pennsylvania (Millersville, PA)
Molloy College (Rockville Centre, NY)
Mount Mercy University (Cedar Rapids, IA)
New College of Florida (Sarasota, FL)
Oberlin College (Oberlin, OH)
Oklahoma Baptist University (Shawnee, OK)
Pacific Lutheran University (Tacoma, WA)
Randolph&#8211;Macon College (Ashland, VA)
Rhode Island School of Design (Providence, RI)
Saint Mary's College of California (Moraga, CA)
Salem College (Winston-Salem, NC)
Salisbury University (Salisbury, MD)
Samford University (Birmingham, AL)
Southwest Baptist University (Bolivar, MO)
Spring Arbor University (Spring Arbor, MI)
St. Catherine University (St. Paul, MN)
St. Olaf College (Northfield, MN)
Tabor College (Hillsboro, KS)
Taylor University (Upland, IN)
The College of Idaho (Caldwell, ID)
Toccoa Falls College (Toccoa Falls, GA)
Union University (Jackson, TN)
University of Delaware (Newark, DE)
University of Dubuque (Dubuque, IA)
University of La Verne (La Verne, CA)
University of Maryland &#8212; Baltimore County (Baltimore, MD)
University of Maryland, Baltimore (Baltimore, MD)
University of Maryland, Eastern Shore (Princess Anne, MD)
University of New Haven (West Haven, CT)
University of San Diego (San Diego, CA)
University of San Francisco (San Francisco, CA)
University of Sioux Falls (Sioux Falls, SD)
University of St. Thomas (St. Paul, MN)
University of Wisconsin &#8212; Stout (Menomonie, WI)
Virginia Wesleyan University (Virginia Beach, VA)
Washington & Jefferson College (Washington, PA)
Webb Institute (Glen Cove, NY)
Whittier College (Whittier, CA)
Whitworth University (Spokane, WA)
Williams College (Williamstown, MA)
Wilson College (Chambersburg, PA)
Wofford College (Spartanburg, SC)
