Bowdoin College (Brunswick, ME)
Bucknell University (Lewisburg, PA)
Colgate University (Hamilton, NY)
Dartmouth College (Hanover, NH)
Duke University (Durham, NC)
Hobart and William Smith Colleges (Geneva, NY)
Miami University &#8212; Oxford (Oxford, OH)
Middlebury College (Middlebury, VT)
Northwestern University (Evanston, IL)
Pennsylvania State University &#8212; University Park (University Park, PA)
St. Lawrence University (Canton, NY)
Stanford University (Stanford, CA)
Syracuse University (Syracuse, NY)
University of California &#8212; Los Angeles (Los Angeles, CA)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of Southern California (Los Angeles, CA)
Williams College (Williamstown, MA)
Auburn University (Auburn, AL)
Boston College (Chestnut Hill, MA)
Clemson University (Clemson, SC)
Louisiana State University &#8212; Baton Rouge (Baton Rouge, LA)
Ohio State University &#8212; Columbus (Columbus, OH)
SUNY &#8212; Cortland (Cortland, NY)
The University of Texas at Austin (Austin, TX)
University of Notre Dame (Notre Dame, IN)
University of Washington, Seattle (Seattle, WA)
