American Baptist College (Nashville, TN): 100%
Conservatory of Music of Puerto Rico (San Juan, PR): 100%
Thomas University (Thomasville, GA): 100%
University of the Potomac (Washington, DC): 100%
Virginia University of Lynchburg (Lynchburg, VA): 100%
United States Air Force Academy (USAF Academy, CO): 98.39%
Inter American University of Puerto Rico &#8212; Aguadilla (Aguadilla, PR): 96.87%
Indiana Institute of Technology (Fort Wayne, IN): 96.32%
College of the Ozarks (Point Lookout, MO): 94.56%
University of Guam (Mangilao, GU): 90.79%
Gutenberg College (Eugene, OR): 90%
University of Puerto Rico, Bayamon (Bayamon, PR): 89.48%
Amridge University (Montgomery, AL): 89.47%
Florida National University (Hialeah, FL): 88.98%
Inter American University of Puerto Rico &#8212; San German (San German, PR): 88.65%
Inter American University of Puerto Rico &#8212; Fajardo (Fajardo, PR): 87.38%
United States Naval Academy (Annapolis, MD): 86.96%
The American College of Greece (Athens, GR): 86.17%
Metropolitan College of New York (New York, NY): 86.09%
Chipola College (Marianna, FL): 85.71%
United States Military Academy (West Point, NY): 85.52%
Florida College (Temple Terrace, FL): 84.43%
University of the People (Pasadena, CA): 83.33%
Arlington Baptist University (Arlington, TX): 82.98%
Caribbean University (Bayamon, PR): 82.45%
Welch College (Gallatin, TN): 82.26%
Stanford University (Stanford, CA): 81.94%
Harvard University (Cambridge, MA): 81.67%
Calvary University (Kansas City, MO): 81.13%
Martin Luther College (New Ulm, MN): 80.91%
Brigham Young University &#8212; Provo (Provo, UT): 79.44%
Inter American University of Puerto Rico &#8212; Ponce (Mercedita, PR): 78.4%
The American University in Cairo (New Cairo, EG): 78.26%
The University of Chicago (Chicago, IL): 76.97%
Polytechnic University of Puerto Rico (San Juan, PR): 76.76%
Minot State University (Minot, ND): 76.2%
Massachusetts Institute of Technology (Cambridge, MA): 76.09%
New Mexico Institute of Mining and Technology (Socorro, NM): 76.94%
Embry&#8211;Riddle Aeronautical University &#8212; Worldwide Campus (Daytona Beach, FL): 74.91%
Maharishi University of Management (Fairfield, IA): 74.07%
Clarks Summit University (Clarks Summit, PA): 73.85%
Thomas Aquinas College (Santa Paula, CA): 73.78%
East Central University (Ada, OK): 73.47%
Kentucky Mountain Bible College (Jackson, KY): 73.08%
University of Puerto Rico &#8212; Ponce (Ponce, PR): 73.07%
Southeastern Baptist Theological Seminary (Wake Forest, NC): 73.03%
Principia College (Elsah, IL): 72.99%
Berea College (Berea, KY): 72.76%
Maranatha Baptist University (Watertown, WI): 72.55%
Gallaudet University (Washington, DC): 71.02%
Wyoming Catholic College (Lander, WY): 70.37%
Yale University (New Haven, CT): 70.19%
