Azusa Pacific University (Azusa, CA)
Colby College (Waterville, ME)
Colorado College (Colorado Springs, CO)
Colorado State University (Fort Collins, CO)
Dartmouth College (Hanover, NH)
Davidson College (Davidson, NC)
DePauw University (Greencastle, IN)
Duke University (Durham, NC)
Eckerd College (St. Petersburg, FL)
Elon University (Elon, NC)
High Point University (High Point, NC)
Indiana University Bloomington (Bloomington, IN)
Johns Hopkins University (Baltimore, MD)
Kenyon College (Gambier, OH)
Mercer University (Macon, GA)
Middlebury College (Middlebury, VT)
Missouri State University (Springfield, MO)
Muhlenberg College (Allentown, PA)
Ohio Wesleyan University (Delaware, OH)
Pomona College (Claremont, CA)
Rensselaer Polytechnic Institute (Troy, NY)
Rice University (Houston, TX)
San Diego State University (San Diego, CA)
Stanford University (Stanford, CA)
Syracuse University (Syracuse, NY)
Texas A&M University &#8212; College Station (College Station, TX)
Texas Christian University (Fort Worth, TX)
The University of Chicago (Chicago, IL)
Tufts University (Medford, MA)
Tulane University (New Orleans, LA)
Union College (Schenectady, NY)
University of California &#8212; Los Angeles (Los Angeles, CA)
University of Notre Dame (Notre Dame, IN)
University of Puget Sound (Tacoma, WA): * The Top Choice 
University of Washington, Seattle (Seattle, WA)
University of Wisconsin &#8212; Madison (Madison, WI)
Vanderbilt University (Nashville, TN)
Villanova University (Villanova, PA)
Washington University in St. Louis (St. Louis, MO)
Wellesley College (Wellesley, MA)
Whitman College (Walla Walla, WA)
