Amherst College (Amherst, MA)
Barnard College (New York, NY)
Bates College (Lewiston, ME)
Beloit College (Beloit, WI)
Boston College (Chestnut Hill, MA)
Boston University (Boston, MA)
Bowdoin College (Brunswick, ME)
Brown University (Providence, RI)
Bryn Mawr College (Bryn Mawr, PA)
California State University &#8212; Long Beach (Long Beach, CA)
Carleton College (Northfield, MN)
Centre College (Danville, KY)
Christopher Newport University (Newport News, VA)
Claremont McKenna College (Claremont, CA)
Colgate University (Hamilton, NY)
College of William and Mary (Williamsburg, VA)
College of the Holy Cross (Worcester, MA)
Columbia University (New York, NY)
Cornell University (Ithaca, NY)
Creighton University (Omaha, NE)
Davidson College (Davidson, NC)
DePauw University (Greencastle, IN)
Dickinson College (Carlisle, PA)
Duke University (Durham, NC)
Emory University (Atlanta, GA)
Fordham University (New York, NY)
Franklin & Marshall College (Lancaster, PA)
Furman University (Greenville, SC)
Georgetown University (Washington, DC)
Gettysburg College (Gettysburg, PA)
Grand Valley State University (Allendale, MI)
Grinnell College (Grinnell, IA)
Gustavus Adolphus College (St. Peter, MN)
Hamilton College (Clinton, NY)
Harvard University (Cambridge, MA)
Haverford College (Haverford, PA)
Hollins University (Roanoke, VA)
Indiana University Bloomington (Bloomington, IN)
Johns Hopkins University (Baltimore, MD)
Kalamazoo College (Kalamazoo, MI)
Kenyon College (Gambier, OH)
Knox College (Galesburg, IL)
Lawrence University (Appleton, WI)
Lehigh University (Bethlehem, PA)
Louisiana State University &#8212; Baton Rouge (Baton Rouge, LA)
Loyola University Maryland (Baltimore, MD)
Macalester College (St. Paul, MN)
Michigan State University (East Lansing, MI)
Middlebury College (Middlebury, VT)
Millsaps College (Jackson, MS)
Mount Holyoke College (South Hadley, MA)
New York University (New York, NY)
Northwestern State University of Louisiana (Natchitoches, LA)
Northwestern University (Evanston, IL)
Oberlin College (Oberlin, OH)
Ohio State University &#8212; Columbus (Columbus, OH)
Pitzer College (Claremont, CA)
Pomona College (Claremont, CA)
Princeton University (Princeton, NJ)
Randolph College (Lynchburg, VA)
Randolph&#8211;Macon College (Ashland, VA)
Reed College (Portland, OR)
Rhodes College (Memphis, TN)
Rice University (Houston, TX)
Rollins College (Winter Park, FL)
Rutgers, the State University of New Jersey &#8212; New Brunswick (Piscataway, NJ)
SUNY &#8212; University at Buffalo (Buffalo, NY)
Saint Joseph's University (Philadelphia, PA)
San Diego State University (San Diego, CA)
San Francisco State University (San Francisco, CA)
Scripps College (Claremont, CA)
Sewanee: The University of the South (Sewanee, TN)
Skidmore College (Saratoga Springs, NY)
Smith College (Northampton, MA)
Southwestern University (Georgetown, TX)
Stanford University (Stanford, CA)
Swarthmore College (Swarthmore, PA)
Sweet Briar College (Sweet Briar, VA)
Texas A&M University &#8212; College Station (College Station, TX)
The College of Wooster (Wooster, OH)
The George Washington University (Washington, DC)
The University of Texas at Austin (Austin, TX)
Trinity College (Hartford, CT)
Trinity University (San Antonio, TX)
Tulane University (New Orleans, LA)
Union College (Barbourville, KY)
University of California &#8212; Los Angeles (Los Angeles, CA)
University of California, Berkeley (Berkeley, CA)
University of California, Davis (Davis, CA)
University of California, Riverside (Riverside, CA)
University of California, San Diego (La Jolla, CA)
University of California, Santa Barbara (Santa Barbara, CA)
University of Cincinnati (Cincinnati, OH)
University of Colorado, Boulder (Boulder, CO)
University of Georgia (Athens, GA)
University of Iowa (Iowa City, IA)
University of Mary Washington (Fredericksburg, VA)
University of Massachusetts Amherst (Amherst, MA)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of Mississippi (University, MS)
University of Missouri &#8212; Columbia (Columbia, MO)
University of New Hampshire (Durham, NH)
University of North Carolina at Chapel Hill (Chapel Hill, NC)
University of Notre Dame (Notre Dame, IN)
University of Pennsylvania (Philadelphia, PA)
University of Pittsburgh (Pittsburgh, PA)
University of Puget Sound (Tacoma, WA)
University of Richmond (University of Richmond, VA)
University of Rochester (Rochester, NY)
University of Southern California (Los Angeles, CA)
University of Vermont (Burlington, VT)
University of Virginia (Charlottesville, VA)
University of Wisconsin &#8212; Madison (Madison, WI)
Vanderbilt University (Nashville, TN)
Vassar College (Poughkeepsie, NY)
Virginia Polytechnic Institute and State University (Blacksburg, VA)
Wabash College (Crawfordsville, IN)
Wake Forest University (Winston Salem, NC)
Washington University in St. Louis (St. Louis, MO)
Washington and Lee University (Lexington, VA)
Wellesley College (Wellesley, MA)
Wesleyan University (Middletown, CT)
Whitman College (Walla Walla, WA)
Willamette University (Salem, OR)
Williams College (Williamstown, MA)
Yale University (New Haven, CT)
