Alverno College (Milwaukee, WI)
Amherst College (Amherst, MA)
Bates College (Lewiston, ME)
Berklee College of Music (Boston, MA)
Brown University (Providence, RI)
Bryn Mawr College (Bryn Mawr, PA)
Carleton College (Northfield, MN)
Clark University (Worcester, MA)
Columbia University (New York, NY)
Drew University (Madison, NJ)
Drexel University (Philadelphia, PA)
Eckerd College (St. Petersburg, FL)
Emerson College (Boston, MA)
Goucher College (Baltimore, MD)
Grinnell College (Grinnell, IA)
Guilford College (Greensboro, NC)
Harvey Mudd College (Claremont, CA)
Haverford College (Haverford, PA)
Juilliard School (New York, NY)
Lewis and Clark College (Portland, OR)
Macalester College (St. Paul, MN)
Massachusetts Institute of Technology (Cambridge, MA)
McGill University (Montreal, CAN)
Naropa University (Boulder, CO)
New York University (New York, NY)
Northland College (Ashland, WI)
Oberlin College (Oberlin, OH)
Pitzer College (Claremont, CA)
Pratt Institute (Brooklyn, NY)
Prescott College (Prescott, AZ)
Ramapo College of New Jersey (Mahwah, NJ)
SUNY &#8212; Purchase College (Purchase, NY)
San Jose State University (San Jose, CA)
Smith College (Northampton, MA)
Stevens Institute of Technology (Hoboken, NJ)
Swarthmore College (Swarthmore, PA)
The Evergreen State College (Olympia, WA)
The University of Montana (Missoula, MT)
The University of New Mexico (Albuquerque, NM)
Unity College (Unity, ME)
University of Alaska Fairbanks (Fairbanks, AK)
University of Chicago (Chicago, IL)
University of Oregon (Eugene, OR)
University of Redlands (Redlands, CA)
Vassar College (Poughkeepsie, NY)
Wesleyan University (Middletown, CT)
Western Washington University (Bellingham, WA)
