Abilene Christian University (Abilene, TX)
Allegheny College (Meadville, PA)
Alma College (Alma, MI)
Alvernia University (Reading, PA)
Alverno College (Milwaukee, WI)
Anderson University (Anderson, IN)
Arcadia University (Glenside, PA)
Arizona State University (Tempe, AZ)
Asbury University (Wilmore, KY)
Augustana College (Sioux Falls, SD)
Austin College (Sherman, TX)
Azusa Pacific University (Azusa, CA)
Barry University (Miami Shores, FL)
Baylor University (Waco, TX)
Belhaven University (Jackson, MS)
Belmont University (Nashville, TN)
Benedictine College (Atchison, KS)
Bentley University (Waltham, MA)
Berea College (Berea, KY)
Bethany College (Bethany, WV)
Bethel College (Mishawaka, IN)
Bethel College (North Newton, KS)
Birmingham&#8211;Southern College (Birmingham, AL)
Blackburn College (Carlinville, IL)
Bluffton University (Bluffton, OH)
Boise State University (Boise, ID)
Brandeis University (Waltham, MA)
Bridgewater College (Bridgewater, VA)
Brigham Young University &#8212; Provo (Provo, UT)
Brown University (Providence, RI)
Buena Vista University (Storm Lake, IA)
CUNY &#8212; Brooklyn College (Brooklyn, NY)
California Lutheran University (Thousand Oaks, CA)
California State University &#8212; Chico (Chico, CA)
California State University &#8212; Fresno (Fresno, CA)
California State University &#8212; Fullerton (Fullerton, CA)
California State University &#8212; Northridge (Northridge, CA)
California State University &#8212; San Marcos (San Marcos, CA)
California University of Pennsylvania (California, PA)
Calvin University (Grand Rapids, MI)
Carroll University (Waukesha, WI)
Carson&#8211;Newman College (Jefferson City, TN)
Castleton State College (Castleton, VT)
Centenary College (Hackettstown, NJ)
Central College (Pella, IA)
Central Methodist University (Fayette, MO)
Central Michigan University (Mount Pleasant, MI)
Chapman University (Orange, CA)
Charleston Southern University (Charleston, SC)
Christopher Newport University (Newport News, VA)
Claflin University (Orangeburg, SC)
Clarke University (Dubuque, IA)
Colgate University (Hamilton, NY)
College of Mount St. Joseph (Cincinnati, OH)
College of St. Benedict (St. Joseph, MN)
College of St. Mary (Omaha, NE)
College of the Atlantic (Bar Harbor, ME)
College of the Holy Cross (Worcester, MA)
College of the Ozarks (Point Lookout, MO)
Colorado State University (Fort Collins, CO)
Columbia College (Columbia, SC)
Columbia College Chicago (Chicago, IL)
