Adrian College (Adrian, MI)
Agnes Scott College (Decatur, GA)
Alfred University (Alfred, NY)
Alice Lloyd College (Pippa Passes, KY)
Alverno College (Milwaukee, WI)
Appalachian State University (Boone, NC)
Arcadia University (Glenside, PA (CAN))
Arizona State University (Tempe, AZ)
Auburn University (Auburn, AL)
Baldwin Wallace University (Berea, OH)
Berea College (Berea, KY)
Boise State University (Boise, ID)
Brenau University (Gainesville, GA)
Butler University (Indianapolis, IN)
CUNY &#8212; City College (New York, NY)
CUNY &#8212; Hunter College (New York, NY)
CUNY &#8212; Queens College (Flushing, NY)
Calvin University (Grand Rapids, MI)
Canisius College (Buffalo, NY)
Carleton University (Ottawa, Ontario, CAN)
Claflin University (Orangeburg, SC)
Clemson University (Clemson, SC)
College of Charleston (Charleston, SC)
College of Saint Elizabeth (Morristown, NJ)
College of the Ozarks (Point Lookout, MO)
Converse College (Spartanburg, SC)
Cornell College (Mount Vernon, IA)
Cottey College (Nevada, MO)
Deep Springs College (Dyer, NV)
Drake University (Des Moines, IA)
Elizabethtown College (Elizabethtown, PA)
Elmira College (Elmira, NY)
Flagler College (St. Augustine, FL)
Florida International University (Miami, FL)
Florida Southern College (Lakeland, FL)
Franklin University (Columbus, OH)
Gannon University (Erie, PA)
George Mason University (Fairfax, VA)
Georgia Southern University (Statesboro, GA)
Grove City College (Grove City, PA)
Hendrix College (Conway, AR)
Hood College (Frederick, MD)
Humboldt State University (Arcata, CA)
Illinois College (Jacksonville, IL)
Kent State University (Kent, OH)
Lebanon Valley College (Annville, PA)
Lenoir&#8211;Rhyne University (Hickory, NC)
Loyola University New Orleans (New Orleans, LA)
Marietta College (Marietta, OH)
McGill University (Montreal, CAN)
Mercer University (Macon, GA)
Messiah College (Grantham, PA)
Mills College (Oakland, CA)
Moody Bible Institute (Chicago, IL)
Morehouse College (Atlanta, GA)
Muskingum University (New Concord, OH)
New College of Florida (Sarasota, FL)
North Carolina State University &#8212; Raleigh (Raleigh, NC)
North Dakota State University (Fargo, ND)
Northern Arizona University (Flagstaff, AZ)
Northwest Missouri State University (Maryville, MO)
Ohio State University &#8212; Columbus (Columbus, OH)
Ohio University (Athens, OH)
Oklahoma State University (Stillwater, OK)
Oregon State University (Corvallis, OR)
Ouachita Baptist University (Arkadelphia, AR)
Pacific Lutheran University (Tacoma, WA)
Presbyterian College (Clinton, SC)
Prescott College (Prescott, AZ)
Providence College (Providence, RI)
Purdue University &#8212; West Lafayette (West Lafayette, IN)
Queens University of Charlotte (Charlotte, NC)
Ramapo College of New Jersey (Mahwah, NJ)
SUNY &#8212; Geneseo (Geneseo, NY)
SUNY &#8212; Potsdam (Potsdam, NY)
Seattle Pacific University (Seattle, WA)
Seton Hill University (Greensburg, PA)
Shippensburg University of Pennsylvania (Shippensburg, PA)
Simon Fraser University (Burnaby, CAN)
Slippery Rock University of Pennsylvania (Slippery Rock, PA)
Southern Illinois University &#8212; Carbondale (Carbondale, IL)
Southern New Hampshire University (Manchester, NH)
St. Bonaventure University (St. Bonaventure, NY)
St. John's University (Collegeville, MN)
St. Mary's University of San Antonio (San Antonio, TX)
Stephen F. Austin State University (Nacogdoches, TX)
Taylor University (Upland, IN)
Texas A&M University &#8212; College Station (College Station, TX)
The College of New Jersey (Ewing, NJ)
The Cooper Union (New York, NY)
The Florida State University (Tallahassee, FL)
The University of Alabama (Tuscaloosa, AL)
The University of Arizona (Tucson, AZ)
The University of New Mexico (Albuquerque, NM)
Tougaloo College (Tougaloo, MS)
Trent University (Peterborough, Ontario, CAN)
Truman State University (Kirksville, MO)
Tuskegee University (Tuskegee, AL)
United States Air Force Academy (USAF Academy, CO)
United States Coast Guard Academy (New London, CT)
United States Military Academy (West Point, NY)
United States Naval Academy (Annapolis, MD)
University of Alaska Fairbanks (Fairbanks, AK)
University of Arkansas (Fayetteville, AR)
University of Detroit Mercy (Detroit, MI)
University of Georgia (Athens, GA)
University of Houston (Houston, TX)
University of Idaho (Moscow, ID)
University of Iowa (Iowa City, IA)
University of Kansas (Lawrence, KS)
University of Kentucky (Lexington, KY)
University of Maine (Orono, ME)
University of Missouri &#8212; Columbia (Columbia, MO)
University of Nebraska &#8212; Lincoln (Lincoln, NE)
University of Nevada, Reno (Reno, NV)
University of North Carolina at Asheville (Asheville, NC)
University of North Carolina at Charlotte (Charlotte, NC)
University of North Carolina at Greensboro (Greensboro, NC)
University of Oklahoma (Norman, OK)
University of Portland (Portland, OR)
University of Redlands (Redlands, CA)
University of Science and Arts of Oklahoma (Chickasha, OK)
University of Scranton (Scranton, PA)
University of South Carolina &#8212; Columbia (Columbia, SC)
University of South Dakota (Vermillion, SD)
University of Tennessee at Knoxville (Knoxville, TN)
University of Toronto (Toronto, Ontario, CAN)
University of Waterloo (Waterloo, Ontario, CAN)
University of the Ozarks (Clarksville, AR)
Washington State University (Pullman, WA)
Webb Institute (Glen Cove, NY)
Wells College (Aurora, NY)
West Virginia University (Morgantown, WV)
Westminster College (Fulton, MO)
Westminster College (New Wilmington, PA)
Whitworth College (Spokane, WA)
William Jewell College (Liberty, MO)
York College (York, NE)
