Alfred University (Alfred, NY): 2004
Auburn University (Auburn, AL): 2001
Austin College (Sherman, TX): 2001
Butler University (Indianapolis, IN): 2010
Clemson University (Clemson, SC): 2006
College of Saint Benedict (St. Joseph, MN): 2010
Creighton University (Omaha, NE): 2012
Eckerd College (St. Petersburg, FL): 2004
Elon University (Elon, NC): 2010
Florida International University (Miami, FL): 2001
George Mason University (Fairfax, VA): 2013
Illinois Wesleyan University (Bloomington, IL): 2001
James Madison University (Harrisonburg, VA): 2010
Mercer University (Macon, GA): 2015
Oklahoma State University &#8212; Oklahoma City Campus (Oklahoma City, OK): 2013
Oregon State University (Corvallis, OR): 2015
Roanoke College (Salem, VA): 2004
SUNY &#8212; Geneseo (Geneseo, NY): 2004
Saint John's University (Collegeville, MN): 2010
Saint Joseph's University (Philadelphia, PA): 2001
Saint Michael's College (Colchester, VT): 2001
Texas A&M University &#8212; College Station (College Station, TX): 2004
Texas Tech University (Lubbock, TX): 2006
The College of New Jersey (Ewing, NJ): 2006
Truman State University (Kirksville, MO): 2001
University of Houston (Houston, TX): 2016
University of Mississippi (University, MS): 2001
University of San Diego (San Diego, CA): 2003
University of the Pacific (Stockton, CA): 2007
Valparaiso University (Valparaiso, IN): 2004
Washington College (Chestertown, MD): 2006
Xavier University (Cincinnati, OH): 2006
