Albright College (Reading, PA)
Arizona State University &#8212; Tempe Campus (Tempe, AZ)
Bates College (Lewiston, ME)
Beloit College (Beloit, WI)
Berea College (Berea, KY)
Bowdoin College (Brunswick, ME)
Bucknell University (Lewisburg, PA)
Case Western Reserve University (Cleveland, OH)
Centre College (Danville, KY)
Dartmouth College (Hanover, NH)
Davidson College (Davidson, NC)
Denison University (Granville, OH)
Earlham College (Richmond, IN)
Emory University (Atlanta, GA)
Franklin & Marshall College (Lancaster, PA)
Grinnell College (Grinnell, IA)
Haverford College (Haverford, PA)
Howard University (Washington, DC)
Illinois State University (Normal, IL)
Juniata College (Huntingdon, PA)
Lafayette College (Easton, PA)
Lake Forest College (Lake Forest, IL)
Muhlenberg College (Allentown, PA)
St. Olaf College (Northfield, MN)
Syracuse University (Syracuse, NY)
The College of Wooster (Wooster, OH)
The University of Arizona (Tucson, AZ)
University of Minnesota &#8212; Twin Cities (Minneapolis, MN)
University of Richmond (University of Richmond, VA)
Vassar College (Poughkeepsie, NY)
Wabash College (Crawfordsville, IN)
Westminster College (Salt Lake City, UT)
Wheaton College (Norton, MA)
