Amherst College (Amherst, MA)
Amridge University (Montgomery, AL)
Barnard College (New York, NY)
Bates College (Lewiston, ME)
Blessing&#8211;Rieman College of Nursing (Quincy, IL)
Boston College (Chestnut Hill, MA)
Bowdoin College (Brunswick, ME)
Brown University (Providence, RI)
Bryn Mawr College (Bryn Mawr, PA)
California Institute of Technology (Pasadena, CA)
Carleton College (Northfield, MN)
Claremont McKenna College (Claremont, CA)
Colby College (Waterville, ME)
Colgate University (Hamilton, NY)
College of the Holy Cross (Worcester, MA)
Colorado College (Colorado Springs, CO)
Columbia University (New York, NY)
Connecticut College (New London, CT)
Cornell University (Ithaca, NY)
Dartmouth College (Hanover, NH)
Davidson College (Davidson, NC)
Duke University (Durham, NC)
Franklin & Marshall College (Lancaster, PA)
Franklin W. Olin College of Engineering (Needham, MA)
Georgetown University (Washington, DC)
Grinnell College (Grinnell, IA)
Hamilton College (Clinton, NY)
Harvard University (Cambridge, MA)
Harvey Mudd College (Claremont, CA)
Haverford College (Haverford, PA)
Johns Hopkins University (Baltimore, MD)
Kenyon College (Gambier, OH)
Lafayette College (Easton, PA)
Macalester College (St. Paul, MN)
Massachusetts Institute of Technology (Cambridge, MA)
Middlebury College (Middlebury, VT)
Mount Holyoke College (South Hadley, MA)
Northwestern University (Evanston, IL)
Oberlin College (Oberlin, OH)
Occidental College (Los Angeles, CA)
Pitzer College (Claremont, CA)
Pomona College (Claremont, CA)
Princeton University (Princeton, NJ)
Reed College (Portland, OR)
Rice University (Houston, TX)
Scripps College (Claremont, CA)
Smith College (Northampton, MA)
Stanford University (Stanford, CA)
Swarthmore College (Swarthmore, PA)
The Cooper Union for the Advancement of Science and Art (New York, NY)
The University of Chicago (Chicago, IL)
The University of Texas of the Permian Basin (Odessa, TX)
Thomas Aquinas College (Santa Paula, CA)
Trinity College (Hartford, CT)
Union College (Schenectady, NY)
University of Dayton (Dayton, OH)
University of North Carolina at Chapel Hill (Chapel Hill, NC)
University of Notre Dame (Notre Dame, IN)
University of Pennsylvania (Philadelphia, PA)
University of Richmond (University of Richmond, VA)
University of Southern California (Los Angeles, CA)
University of Virginia (Charlottesville, VA)
Vanderbilt University (Nashville, TN)
Vassar College (Poughkeepsie, NY)
Wake Forest University (Winston-Salem, NC)
Washington University in St. Louis (St. Louis, MO)
Washington and Lee University (Lexington, VA)
Wellesley College (Wellesley, MA)
Wesleyan University (Middletown, CT)
Williams College (Williamstown, MA)
Yale University (New Haven, CT)
