Boston University (Boston, MA)
Carnegie Mellon University (Pittsburgh, PA)
Columbia College Chicago (Chicago, IL)
DePaul University (Chicago, IL)
Drexel University (Philadelphia, PA)
Emerson College (Boston, MA)
Fordham University (Bronx, NY)
Full Sail University (Winter Park, FL)
Ithaca College (Ithaca, NY)
New York University (New York, NY)
Purdue University &#8212; West Lafayette (West Lafayette, IN)
Shenandoah University (Winchester, VA)
University of Denver (Denver, CO)
University of Indianapolis (Indianapolis, IN)
University of Massachusetts Lowell (Lowell, MA)
University of New Haven (West Haven, CT)
University of Southern California (Los Angeles, CA)
Virginia Polytechnic Institute and State University (Blacksburg, VA)
Webster University (St. Louis, MO)
Western Michigan University (Kalamazoo, MI)
