Alverno College (Milwaukee, WI)
Arcadia University (Glenside, PA)
Baldwin Wallace University (Berea, OH)
Ball State University (Muncie, IN)
Baylor University (Waco, TX)
Berea College (Berea, KY)
Bethel College (Mishawaka, IN)
Birmingham&#8211;Southern College (Birmingham, AL)
Boston College (Chestnut Hill, MA)
Boston University (Boston, MA)
Bradley University (Peoria, IL)
Brigham Young University &#8212; Provo (Provo, UT)
Brown University (Providence, RI)
Butler University (Indianapolis, IN)
CUNY &#8212; Hunter College (New York, NY)
California State University &#8212; Northridge (Northridge, CA)
Calvin University (Grand Rapids, MI)
Clark Atlanta University (Atlanta, GA)
Clemson University (Clemson, SC)
Coe College (Cedar Rapids, IA)
Colby&#8211;Sawyer College (New London, NH)
Colgate University (Hamilton, NY)
College of William and Mary (Williamsburg, VA)
College of the Ozarks (Point Lookout, MO)
Columbia University (New York, NY)
Creighton University (Omaha, NE)
DePaul University (Chicago, IL)
Drake University (Des Moines, IA)
Elmira College (Elmira, NY)
Elon University (Elon, NC)
Florida Southern College (Lakeland, FL)
Florida State University (Tallahassee, FL)
Fordham University (New York, NY)
Fort Hays State University (Hays, KS)
Furman University (Greenville, SC)
George Mason University (Fairfax, VA)
Gonzaga University (Spokane, WA)
Goucher College (Baltimore, MD)
Hamline University (St. Paul, MN)
Hobart and William Smith Colleges (Geneva, NY)
James Madison University (Harrisonburg, VA)
John Carroll University (University Heights, OH)
Johns Hopkins University (Baltimore, MD)
King's College (Wilkes-Barre, PA)
LeTourneau University (Longview, TX)
Lesley University (Cambridge, MA)
Lipscomb University (Nashville, TN)
Loyola Marymount University (Los Angeles, CA)
Loyola University Maryland (Baltimore, MD)
Manhattan College (Riverdale, NY)
Marquette University (Milwaukee, WI)
McDaniel College (Westminster, MD)
Mercyhurst University (Erie, PA)
Miami University &#8212; Oxford (Oxford, OH)
Millikin University (Decatur, IL)
Millsaps College (Jackson, MS)
Mount Saint Mary's University (Los Angeles, CA)
North Carolina State University &#8212; Raleigh (Raleigh, NC)
Nova Southeastern University (Fort Lauderdale, FL)
Ohio University (Athens, OH)
Oregon State University (Corvallis, OR)
Otterbein University (Westerville, OH)
Ouachita Baptist University (Arkadelphia, AR)
Pacific Lutheran University (Tacoma, WA)
Pennsylvania State University &#8212; University Park (University Park, PA)
Point Loma Nazarene University (San Diego, CA)
Purdue University &#8212; West Lafayette (West Lafayette, IN)
Rutgers, the State University of New Jersey &#8212; New Brunswick (Piscataway, NJ)
SUNY &#8212; Geneseo (Geneseo, NY)
SUNY &#8212; New Paltz (New Paltz, NY)
SUNY &#8212; Oswego (Oswego, NY)
Salisbury University (Salisbury, MD)
San Diego State University (San Diego, CA)
Silver Lake College (Manitowoc, WI)
Simmons College (Boston, MA)
Skidmore College (Saratoga Springs, NY)
Southwestern University (Georgetown, TX)
Springfield College (Springfield, MA)
St. Andrews University (Laurinburg, NC)
St. Louis University (St. Louis, MO)
Stony Brook University (Stony Brook, NY)
Susquehanna University (Selinsgrove, PA)
Swarthmore College (Swarthmore, PA)
Texas Christian University (Fort Worth, TX)
Texas College (Tyler, TX)
The College of New Jersey (Ewing, NJ)
The Ohio State University &#8212; Columbus (Columbus, OH)
The University of Arizona (Tucson, AZ)
The University of New Mexico (Albuquerque, NM)
The University of Texas at Austin (Austin, TX)
Towson University (Towson, MD)
Trinity University (San Antonio, TX)
Trinity Washington University (Washington, DC)
Truman State University (Kirksville, MO)
University of California, San Diego (La Jolla, CA)
University of Central Florida (Orlando, FL)
University of Cincinnati (Cincinnati, OH)
University of Connecticut (Storrs, CT)
University of Dayton (Dayton, OH)
University of Florida (Gainesville, FL)
University of Georgia (Athens, GA)
University of Illinois at Urbana&#8211;Champaign (Champaign, IL)
University of Louisville (Louisville, KY)
University of Maryland, College Park (College Park, MD)
University of Memphis (Memphis, TN)
University of Miami (Coral Gables, FL)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of Minnesota &#8212; Twin Cities (Minneapolis, MN)
University of Missouri &#8212; Columbia (Columbia, MO)
University of Nebraska &#8212; Kearney (Kearney, NE)
University of Nebraska &#8212; Lincoln (Lincoln, NE)
University of New Orleans (New Orleans, LA)
University of New Orleans (New Orleans, LA)
University of North Carolina at Asheville (Asheville, NC)
University of North Carolina at Chapel Hill (Chapel Hill, NC)
University of Northern Colorado (Greeley, CO)
University of Pittsburgh (Pittsburgh, PA)
University of Rochester (Rochester, NY)
University of South Florida (Tampa, FL)
University of Vermont (Burlington, VT)
University of Washington, Seattle (Seattle, WA)
University of Wisconsin &#8212; Madison (Madison, WI)
University of the Pacific (Stockton, CA)
Valparaiso University (Valparaiso, IN)
Vanderbilt University (Nashville, TN)
Vassar College (Poughkeepsie, NY)
Washburn University (Topeka, KS)
Western Washington University (Bellingham, WA)
Whitworth College (Spokane, WA)
William Jewell College (Liberty, MO)
Wilmington University (New Castle, DE)
Winona State University (Winona, MN)
Wittenberg University (Springfield, OH)
