Albion College (Albion, MI): 35%
Baker University (Baldwin City, KS): 36%
Birmingham&#8211;Southern College (Birmingham, AL): 37%
Bowie State University (Bowie, MD): 38%
Bucknell University (Lewisburg, PA): 35%
Centre College (Danville, KY): 36%
Creighton University (Omaha, NE): 46%
Culver&#8211;Stockton College (Canton, MO): 39%
Dartmouth College (Hanover, NH): 35%
DePauw University (Greencastle, IN): 69%
Drake University (Des Moines, IA): 36%
Eureka College (Eureka, IL): 39%
Hampden&#8211;Sydney College (Hampden-Sydney, VA): 35%
Hanover College (Hanover, IN): 41%
Knox College (Galesburg, IL): 35%
Massachusetts Institute of Technology (Cambridge, MA): 43%
Millsaps College (Jackson, MS): 58%
Missouri State University (Springfield, MO): 40%
Ohio Wesleyan University (Delaware, OH): 36%
Philander Smith College (Little Rock, AR): 80%
Rockhurst University (Kansas City, MO): 38%
Rollins College (Winter Park, FL): 36%
Rose&#8211;Hulman Institute of Technology (Terre Haute, IN): 37%
Samford University (Birmingham, AL): 36%
Texas Christian University (Fort Worth, TX): 41%
The University of the South (Sewanee, TN): 56%
Transylvania University (Lexington, KY): 44%
Wabash College (Crawfordsville, IN): 64%
Washington & Jefferson College (Washington, PA): 38%
Washington and Lee University (Lexington, VA): 75%
Welch College (Gallatin, TN): 75%
Westminster College (Fulton, MO): 51%
Whitman College (Walla Walla, WA): 35%
William Jewell College (Liberty, MO): 40%
Wofford College (Spartanburg, SC): 47%
