Auburn University (Auburn, AL): 43%
Augustana College (Rock Island, IL): 55%
Baker University (Baldwin City, KS): 45%
Bethany College (Bethany, WV): 43%
Birmingham&#8211;Southern College (Birmingham, AL): 55%
Bucknell University (Lewisburg, PA): 45%
Centre College (Danville, KY): 40%
Chapman University (Orange, CA): 48%
Clemson University (Clemson, SC): 48%
Dartmouth College (Hanover, NH): 42%
Davidson College (Davidson, NC): 49%
DePauw University (Greencastle, IN): 62%
Denison University (Granville, OH): 49%
Drury University (Springfield, MO): 61%
Duke University (Durham, NC): 42%
Franklin College (Franklin, IN): 43%
Furman University (Greenville, SC): 61%
Huntingdon College (Montgomery, AL): 43%
LaGrange College (LaGrange, GA): 48%
Millsaps College (Jackson, MS): 49%
Ohio Valley University (Vienna, WV): 52%
Philander Smith College (Little Rock, AR): 75%
Presbyterian College (Clinton, SC): 44%
Rhodes College (Memphis, TN): 42%
Rockhurst University (Kansas City, MO): 41%
Sacred Heart University (Fairfield, CT): 47%
Samford University (Birmingham, AL): 55%
Stevens Institute of Technology (Hoboken, NJ): 42%
Texas Christian University (Fort Worth, TX): 58%
The University of Alabama (Tuscaloosa, AL): 44%
The University of the South (Sewanee, TN): 64%
Transylvania University (Lexington, KY): 42%
Tulane University (New Orleans, LA): 46%
Union College (Schenectady, NY): 41%
University of Mississippi (University, MS): 43%
Vanderbilt University (Nashville, TN): 48%
Wake Forest University (Winston-Salem, NC): 59%
Washington and Lee University (Lexington, VA): 75%
Welch College (Gallatin, TN): 72%
Westminster College (New Wilmington, PA): 49%
Whitman College (Walla Walla, WA): 41%
William Jewell College (Liberty, MO): 46%
William Woods University (Fulton, MO): 44%
Wofford College (Spartanburg, SC): 55%
