Abilene Christian University (Abilene, TX)
Alaska Bible College (Palmer, AK)
American Baptist College (Nashville, TN)
Anderson University (Anderson, IN)
Anderson University (Anderson, SC)
Andrews University (Berrien Springs, MI)
Appalachian Bible College (Mount Hope, WV)
Arizona Christian University (Phoenix, AZ)
Arlington Baptist University (Arlington, TX)
Asbury University (Wilmore, KY)
Azusa Pacific University (Azusa, CA)
Baptist Bible College (Springfield, MO)
Baptist College of Health Sciences (Memphis, TN)
Barclay College (Haviland, KS)
Belhaven University (Jackson, MS)
Bethany Global University (Bloomington, MN)
Bethel College (Mishawaka, IN)
Bethel University (McKenzie, TN)
Beulah Heights University (Atlanta, GA)
Biola University (La Mirada, CA)
Blue Mountain College (Blue Mountain, MS)
Bluefield College (Bluefield, VA)
Bob Jones University (Greenville, SC)
Boise Bible College (Boise, ID)
Brewton&#8211;Parker College (Mount Vernon, GA)
Bryan College (Dayton, TN)
Bryn Athyn College (Bryn Athyn, PA)
Cairn University (Langhorne, PA)
California Baptist University (Riverside, CA)
Calvary University (Kansas City, MO)
Carson&#8211;Newman University (Jefferson City, TN)
Cedarville University (Cedarville, OH)
Central Baptist College (Conway, AR)
Central Christian College of Kansas (McPherson, KS)
Central Christian College of the Bible (Moberly, MO)
Charleston Southern University (Charleston, SC)
Clarks Summit University (South Abington Township, PA)
Clear Creek Baptist Bible College (Pineville, KY)
College of the Ozarks (Point Lookout, MO)
Colorado Christian University (Lakewood, CO)
Columbia International University (Columbia, SC)
Cornerstone University (Grand Rapids, MI)
Covenant College (Lookout Mountain, GA)
Crown College (St. Bonifacius, MN)
Dallas Baptist University (Dallas, TX)
Davis College (Johnson City, NY)
East Texas Baptist University (Marshall, TX)
Eastern Nazarene College (Quincy, MA)
Edward Waters College (Jacksonville, FL)
Emmanuel College (Franklin Springs, GA)
Emmaus Bible College (Dubuque, IA)
Erskine College (Due West, SC)
Evangel University (Springfield, MO)
Faith Baptist Bible College and Theological Seminary (Ankeny, IA)
Florida College (Temple Terrace, FL)
Freed&#8211;Hardeman University (Henderson, TN)
Gardner&#8211;Webb University (Boiling Springs, NC)
George Fox University (Newberg, OR)
Gordon College (Wenham, MA)
Goshen College (Goshen, IN)
Grace Christian University (Wyoming, MI)
Grace College & Seminary (Winona Lake, IN)
Greenville University (Greenville, IL)
Grove City College (Grove City, PA)
Hannibal&#8211;LaGrange University (Hannibal, MO)
Hardin&#8211;Simmons University (Abilene, TX)
Harding University (Searcy, AR)
Hope International University (Fullerton, CA)
Houghton College (Houghton, NY)
Howard Payne University (Brownwood, TX)
Huntington University (Huntington, IN)
Indiana Wesleyan University (Marion, IN)
John Brown University (Siloam Springs, AR)
Johnson University (Knoxville, TN)
Johnson University Florida (Kissimmee, FL)
Judson College (Marion, AL)
Judson University (Elgin, IL)
Kentucky Christian University (Grayson, KY)
Kentucky Mountain Bible College (Jackson, KY)
La Sierra University (Riverside, CA)
Lancaster Bible College (Lancaster, PA)
Lane College (Jackson, TN)
LeTourneau University (Longview, TX)
Lee University (Cleveland, TN)
Life Pacific College (San Dimas, CA)
Lincoln Christian University (Lincoln, IL)
Lipscomb University (Nashville, TN)
Louisiana College (Pineville, LA)
Lubbock Christian University (Lubbock, TX)
Luther Rice College & Seminary (Lithonia, GA)
Malone University (Canton, OH)
Maranatha Baptist University (Watertown, WI)
Messiah College (Mechanicsburg, PA)
Mid&#8211;America Christian University (Oklahoma City, OK)
Mid&#8211;Atlantic Christian University (Elizabeth City, NC)
MidAmerica Nazarene University (Olathe, KS)
Milligan College (Milligan College, TN)
Mississippi College (Clinton, MS)
Missouri Baptist University (St. Louis, MO)
Montreat College (Montreat, NC)
Moody Bible Institute (Chicago, IL)
Mount Vernon Nazarene University (Mount Vernon, OH)
Multnomah University (Portland, OR)
Nebraska Christian College (Papillion, NE)
North Central University (Minneapolis, MN)
North Greenville University (Tigerville, SC)
Northpoint Bible College (Haverhill, MA)
Northwest Christian University (Eugene, OR)
Northwest Nazarene University (Nampa, ID)
Northwest University (Kirkland, WA)
Northwestern College (Orange City, IA)
Oakwood University (Huntsville, AL)
Ohio Christian University (Circleville, OH)
Ohio Valley University (Vienna, WV)
Oklahoma Baptist University (Shawnee, OK)
Oklahoma Christian University (Edmond, OK)
Oklahoma Wesleyan University (Bartlesville, OK)
Olivet Nazarene University (Bourbonnais, IL)
Oral Roberts University (Tulsa, OK)
Ouachita Baptist University (Arkadelphia, AR)
Palm Beach Atlantic University (West Palm Beach, FL)
Patrick Henry College (Purcellville, VA)
Patten University (Oakland, CA)
Paul Quinn College (Dallas, TX)
Pensacola Christian College (Pensacola, FL)
Philander Smith College (Little Rock, AR)
Piedmont International University (Winston-Salem, NC)
Point Loma Nazarene University (San Diego, CA)
Pontifical College Josephinum (Columbus, OH)
Regent University (Virginia Beach, VA)
Roberts Wesleyan College (Rochester, NY)
Rochester College (Rochester Hills, MI)
San Diego Christian College (Santee, CA)
Shasta Bible College and Graduate School (Redding, CA)
Simpson University (Redding, CA)
Southeastern Baptist Theological Seminary (Wake Forest, NC)
Southeastern University (Lakeland, FL)
Southern Baptist Theological Seminary, The (Louisville, KY)
Southern Nazarene University (Bethany, OK)
Southern Wesleyan University (Central, SC)
Southwestern Adventist University (Keene, TX)
Southwestern Assemblies of God University (Waxahachie, TX)
Southwestern Christian University (Bethany, OK)
Spring Arbor University (Spring Arbor, MI)
St. Louis Christian College (Florissant, MO)
Sterling College (Sterling, KS)
Stillman College (Tuscaloosa, AL)
Tabor College (Hillsboro, KS)
Texas College (Tyler, TX)
The Master's University and Seminary (Santa Clarita, CA)
Toccoa Falls College (Toccoa Falls, GA)
Trevecca Nazarene University (Nashville, TN)
Trinity Baptist College (Jacksonville, FL)
Trinity College of Florida (Trinity, FL)
Trinity International University (Deerfield, IL)
Truett McConnell University (Cleveland, GA)
Tyndale University College & Seminary (Toronto, Ontario, CN)
Union University (Jackson, TN)
University of Mary Hardin&#8211;Baylor (Belton, TX)
University of Mobile (Mobile, AL)
University of Northwestern &#8212; St. Paul (St. Paul, MN)
University of Valley Forge (Phoenixville, PA)
Vanguard University of Southern California (Costa Mesa, CA)
Virginia Union University (Richmond, VA)
Voorhees College (Denmark, SC)
