Clemson University (Clemson, SC)
Duke University (Durham, NC)
Louisiana State University &#8212; Baton Rouge (Baton Rouge, LA)
Ohio State University &#8212; Columbus (Columbus, OH)
Pennsylvania State University &#8212; University Park (University Park, PA)
The Florida State University (Tallahassee, FL)
The University of Texas at Austin (Austin, TX)
University of Florida (Gainesville, FL)
University of Georgia (Athens, GA)
University of Maryland, College Park (College Park, MD)
University of Miami (Coral Gables, FL)
University of North Carolina at Chapel Hill (Chapel Hill, NC)
University of Notre Dame (Notre Dame, IN)
University of Tennessee at Knoxville (Knoxville, TN)
Virginia Polytechnic Institute and State University (Blacksburg, VA)
Colgate University (Hamilton, NY)
Hamilton College (Clinton, NY)
Oklahoma State University (Stillwater, OK)
Texas A&M University &#8212; College Station (College Station, TX)
The University of Montana (Missoula, MT)
Towson University (Towson, MD)
University of Kentucky (Lexington, KY)
University of Oregon (Eugene, OR)
University of South Carolina &#8212; Columbia (Columbia, SC)
Villanova University (Villanova, PA)
West Virginia University (Morgantown, WV)
