Adelphi University (Garden City, NY)
American University (Washington, DC)
DePaul University (Chicago, IL)
Dean College (Franklin, MA)
Guilford College (Greensboro, NC)
High Point University (High Point, NC)
Hofstra University (Hempstead, NY)
Iona College (New Rochelle, NY)
Lone Star College &#8212; North Harris (Houston, TX)
Lynchburg College (Lynchburg, VA)
Marist College (Poughkeepsie, NY)
McDaniel College (Westminster, MD)
Miami University &#8212; Oxford (Oxford, OH)
Mitchell College (New London, CT)
Muhlenberg College (Allentown, PA)
Northeastern University (Boston, MA)
Roger Williams University (Bristol, RI)
The College of Wooster (Wooster, OH)
University of Denver (Denver, CO)
University of the Ozarks (Clarksville, AR)
Curry College (Milton, MA)
Lynn University (Boca Raton, FL)
Landmark College (Putney, VT)
The University of Arizona (Tucson, AZ)
