Bard College (Annandale on Hudson, NY)
Brown University (Providence, RI)
Bryn Mawr College (Bryn Mawr, PA)
Columbia University (New York, NY)
Goucher College (Baltimore, MD)
Grinnell College (Grinnell, IA)
Hampshire College (Amherst, MA)
Harvard University (Cambridge, MA)
Kenyon College (Gambier, OH)
Mount Holyoke College (South Hadley, MA)
New York University (New York, NY)
Oberlin College (Oberlin, OH)
Pitzer College (Claremont, CA)
Sarah Lawrence College (Bronxville, NY)
Smith College (Northampton, MA)
University of California, Berkeley (Berkeley, CA)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
Vassar College (Poughkeepsie, NY)
Wesleyan University (Middletown, CT)
Beloit College (Beloit, WI)
Carleton College (Northfield, MN)
Cornell University (Ithaca, NY)
Drew University (Madison, NJ)
Earlham College (Richmond, IN)
Emerson College (Boston, MA)
Guilford College (Greensboro, NC)
Haverford College (Haverford, PA)
Humboldt State University (Arcata, CA)
Indiana University Bloomington (Bloomington, IN)
Macalester College (St. Paul, MN)
Middlebury College (Middlebury, VT)
Mills College (Oakland, CA)
Northwestern University (Evanston, IL)
Princeton University (Princeton, NJ)
Reed College (Portland, OR)
Rhodes College (Memphis, TN)
The Evergreen State College (Olympia, WA)
The School of the Art Institute of Chicago (Chicago, IL)
Tufts University (Medford, MA)
University of Chicago (Chicago, IL)
University of Oregon (Eugene, OR)
University of Pennsylvania (Philadelphia, PA)
University of South Carolina &#8212; Columbia (Columbia, SC)
University of Southern California (Los Angeles, CA)
Washington University in St. Louis (St. Louis, MO)
Wellesley College (Wellesley, MA)
Yale University (New Haven, CT)
