American University (Washington, DC)
Augustana College (Sioux Falls, SD)
Bloomsburg University of Pennsylvania (Bloomsburg, PA)
California State University &#8212; Northridge (Northridge, CA)
Columbia College Chicago (Chicago, IL)
Flagler College (St. Augustine, FL)
Gallaudet University (Washington, DC)
Lenoir&#8211;Rhyne University (Hickory, NC)
Lone Star College &#8212; Montgomery (Conroe, TX)
Maryville College (Maryville, TN)
McDaniel College (Westminster, MD)
Quincy University (Quincy, IL)
Rochester Institute of Technology (Rochester, NY)
Santa Ana College (Santa Ana, CA)
Tidewater Community College (Norfolk, VA)
Troy University (Troy, AL)
University of Rochester (Rochester, NY)
University of Southern Maine (Gorham, ME)
Western Oregon University (Monmouth, OR)
William Woods University (Fulton, MO)
