Adelphi University (Garden City, NY)
Arizona State University (Tempe, AZ)
Beloit College (Beloit, WI)
Bloomsburg University of Pennsylvania (Bloomsburg, PA)
Boston University (Boston, MA)
Brandeis University (Waltham, MA)
Brigham Young University &#8212; Provo (Provo, UT)
Bryant University (Smithfield, RI)
Butler University (Indianapolis, IN)
California State University &#8212; Northridge (Northridge, CA)
Clark University (Worcester, MA)
College of Southern Idaho (Twin Falls, ID)
College of the Holy Cross (Worcester, MA)
Cornell College (Mount Vernon, IA)
Cornell University (Ithaca, NY)
Davidson College (Davidson, NC)
Dickinson College (Carlisle, PA)
Drake University (Des Moines, IA)
Edinboro University of Pennsylvania (Edinboro, PA)
Flagler College (St. Augustine, FL)
Franklin Pierce University (Rindge, NH)
Front Range Community College (Westminster, CO)
Gallaudet University (Washington, DC)
Gardner&#8211;Webb University (Boiling Springs, NC)
Goucher College (Baltimore, MD)
Hofstra University (Hempstead, NY)
Kalamazoo College (Kalamazoo, MI)
Lawrence University (Appleton, WI)
Lenoir&#8211;Rhyne University (Hickory, NC)
MacMurray College (Jacksonville, IL)
Maryville College (Maryville, TN)
McDaniel College (Westminster, MD)
Mount Aloysius College (Cresson, PA)
Muhlenberg College (Allentown, PA)
Northeastern University (Boston, MA)
Rochester Institute of Technology (Rochester, NY)
SUNY &#8212; Binghamton (Binghamton, NY)
Skidmore College (Saratoga Springs, NY)
Stanford University (Stanford, CA)
Syracuse University (Syracuse, NY)
The University of Arizona (Tucson, AZ)
The University of Utah (Salt Lake City, UT)
Towson University (Towson, MD)
University of Connecticut (Storrs, CT)
University of Denver (Denver, CO)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of Oregon (Eugene, OR)
University of Puget Sound (Tacoma, WA)
University of Tennessee at Knoxville (Knoxville, TN)
University of Vermont (Burlington, VT)
University of Washington, Seattle (Seattle, WA)
Virginia Commonwealth University (Richmond, VA)
Washington University in St. Louis (St. Louis, MO)
