Adelphi University (Garden City, NY)
Allegheny College (Meadville, PA)
Alverno College (Milwaukee, WI)
Amherst College (Amherst, MA)
Arizona State University (Tempe, AZ)
Barnard College (New York, NY)
CUNY &#8212; Baruch College (New York, NY)
CUNY &#8212; Brooklyn College (Brooklyn, NY)
CUNY &#8212; City College (New York, NY)
CUNY &#8212; Lehman College (Bronx, NY)
California Institute of Technology (Pasadena, CA)
California State University &#8212; Chico (Chico, CA)
California State University &#8212; Dominguez Hills (Carson, CA)
California State University &#8212; Fresno (Fresno, CA)
California State University &#8212; Los Angeles (Los Angeles, CA)
Case Western Reserve University (Cleveland, OH)
Chowan University (Murfreesboro, NC)
Davidson College (Davidson, NC)
DePaul University (Chicago, IL)
Drake University (Des Moines, IA)
Eastern Illinois University (Charleston, IL)
Eastern Michigan University (Ypsilanti, MI)
Emerson College (Boston, MA)
Emmanuel College (Boston, MA)
Emory University (Atlanta, GA)
Fashion Institute of Technology (New York, NY)
Fontbonne University (St. Louis, MO)
Fordham University (New York, NY)
Gardner&#8211;Webb University (Boiling Springs, NC)
Georgetown University (Washington, DC)
Georgia Institute of Technology (Atlanta, GA)
Goucher College (Baltimore, MD)
Greensboro College (Greensboro, NC)
Hamilton College (Clinton, NY)
Hampshire College (Amherst, MA)
Harvard University (Cambridge, MA)
Holy Names University (Oakland, CA)
Hood College (Frederick, MD)
Illinois Institute of Technology (Chicago, IL)
Illinois Wesleyan University (Bloomington, IL)
Iona College (New Rochelle, NY)
Iowa State University (Ames, IA)
James Madison University (Harrisonburg, VA)
Johns Hopkins University (Baltimore, MD)
Kansas Wesleyan University (Salina, KS)
Kean University (Union, NJ)
Kentucky State University (Frankfort, KY)
Lincoln College (Lincoln, IL)
Louisiana State University &#8212; Baton Rouge (Baton Rouge, LA)
Loyola Marymount University (Los Angeles, CA)
Loyola University New Orleans (New Orleans, LA)
MacMurray College (Jacksonville, IL)
Macalester College (St. Paul, MN)
Marietta College (Marietta, OH)
Maryland Institute College of Art (Baltimore, MD)
Marymount Manhattan College (New York, NY)
Methodist University (Fayetteville, NC)
Michigan State University (East Lansing, MI)
Mississippi State University (Mississippi State, MS)
Mount Saint Mary's University (Los Angeles, CA)
North Carolina State University &#8212; Raleigh (Raleigh, NC)
Northwestern University (Evanston, IL)
Ohio State University &#8212; Columbus (Columbus, OH)
Ohio University (Athens, OH)
Ohio Wesleyan University (Delaware, OH)
Old Dominion University (Norfolk, VA)
Pennsylvania State University &#8212; University Park (University Park, PA)
Pomona College (Claremont, CA)
Princeton University (Princeton, NJ)
SUNY &#8212; Old Westbury (Old Westbury, NY)
San Diego State University (San Diego, CA)
San Francisco State University (San Francisco, CA)
St. Louis University (St. Louis, MO)
Stanford University (Stanford, CA)
Stephen F. Austin State University (Nacogdoches, TX)
The College of New Jersey (Ewing, NJ)
The University of Alabama (Tuscaloosa, AL)
The University of Texas at Austin (Austin, TX)
Trinity College (Hartford, CT)
University of California &#8212; Los Angeles (Los Angeles, CA)
University of California, Berkeley (Berkeley, CA)
University of California, Davis (Davis, CA)
University of California, Riverside (Riverside, CA)
University of Detroit Mercy (Detroit, MI)
University of Findlay (Findlay, OH)
University of Florida (Gainesville, FL)
University of Houston (Houston, TX)
University of Illinois at Urbana&#8211;Champaign (Champaign, IL)
University of Kentucky (Lexington, KY)
University of La Verne (La Verne, CA)
University of Louisiana at Lafayette (Lafayette, LA)
University of Maryland &#8212; Baltimore County (Baltimore, MD)
University of Memphis (Memphis, TN)
University of Mississippi (University, MS)
University of North Carolina at Greensboro (Greensboro, NC)
University of North Texas (Denton, TX)
University of Oklahoma (Norman, OK)
University of South Carolina &#8212; Columbia (Columbia, SC)
University of Tennessee at Knoxville (Knoxville, TN)
University of Toledo (Toledo, OH)
Yale University (New Haven, CT)
