Arizona State University (Tempe, AZ)
Auburn University (Auburn, AL)
Baylor University (Waco, TX)
Boise State University (Boise, ID)
Clemson University (Clemson, SC)
Georgia Institute of Technology (Atlanta, GA)
James Madison University (Harrisonburg, VA)
Kansas State University (Manhattan, KS)
Louisiana State University &#8212; Baton Rouge (Baton Rouge, LA)
Michigan State University (East Lansing, MI)
Mississippi State University (Mississippi State, MS)
Ohio State University &#8212; Columbus (Columbus, OH)
Pennsylvania State University &#8212; University Park (University Park, PA)
Texas Christian University (Fort Worth, TX)
The Florida State University (Tallahassee, FL)
The University of Alabama (Tuscaloosa, AL)
The University of Arizona (Tucson, AZ)
The University of Texas at Austin (Austin, TX)
The University of Utah (Salt Lake City, UT)
University of California &#8212; Los Angeles (Los Angeles, CA)
University of Colorado Boulder (Boulder, CO)
University of Florida (Gainesville, FL)
University of Georgia (Athens, GA)
University of Louisville (Louisville, KY)
University of Miami (Coral Gables, FL)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of Minnesota &#8212; Twin Cities (Minneapolis, MN)
University of Mississippi (University, MS)
University of Missouri &#8212; Columbia (Columbia, MO)
University of Nebraska &#8212; Lincoln (Lincoln, NE)
University of Notre Dame (Notre Dame, IN)
University of Oklahoma (Norman, OK)
University of Oregon (Eugene, OR)
University of Southern California (Los Angeles, CA)
University of Tennessee at Knoxville (Knoxville, TN)
University of Washington, Seattle (Seattle, WA)
University of Wisconsin &#8212; Madison (Madison, WI)
