Albion College (Albion, MI)
Allegheny College (Meadville, PA)
Augustana College (Rock Island, IL)
Bridgewater College (Bridgewater, VA)
Central College (Pella, IA)
Centre College (Danville, KY)
Chapman University (Orange, CA)
Concordia College &#8212; Moorhead (Moorhead, MN)
Hobart and William Smith Colleges (Geneva, NY)
Ithaca College (Ithaca, NY)
John Carroll University (University Heights, OH)
Johns Hopkins University (Baltimore, MD)
Linfield College (McMinnville, OR)
Lycoming College (Williamsport, PA)
Massachusetts Institute of Technology (Cambridge, MA)
Muhlenberg College (Allentown, PA)
North Central College (Naperville, IL)
Pacific Lutheran University (Tacoma, WA)
Rowan University (Glassboro, NJ)
Salisbury University (Salisbury, MD)
St. John Fisher College (Rochester, NY)
St. John's University (Collegeville, MN)
Texas Lutheran University (Seguin, TX)
Trinity University (San Antonio, TX)
Union College (Schenectady, NY)
University of Dayton (Dayton, OH)
University of Delaware (Newark, DE)
University of Mary Hardin&#8211;Baylor (Belton, TX)
University of Mount Union (Alliance, OH)
University of St. Thomas (St. Paul, MN)
University of Wisconsin &#8212; La Crosse (La Crosse, WI)
University of Wisconsin &#8212; Whitewater (Whitewater, WI)
Wabash College (Crawfordsville, IN)
Wagner College (Staten Island, NY)
Wartburg College (Waverly, IA)
Washington & Jefferson College (Washington, PA)
Wheaton College (Wheaton, IL)
Widener University (Chester, PA)
Wittenberg University (Springfield, OH)
