American Jewish University (Bel Air, CA)
Auburn University (Auburn, AL)
Augustana College (Rock Island, IL)
Austin College (Sherman, TX)
Baylor University (Waco, TX)
Bethany College (Bethany, WV)
Boston College (Chestnut Hill, MA)
Bradley University (Peoria, IL)
Brigham Young University &#8212; Provo (Provo, UT)
Buena Vista University (Storm Lake, IA)
California Institute of Technology (Pasadena, CA)
California State University &#8212; Sacramento (Sacramento, CA)
Canisius College (Buffalo, NY)
Carnegie Mellon University (Pittsburgh, PA)
Case Western Reserve University (Cleveland, OH)
Centenary College (Hackettstown, NJ)
Clark University (Worcester, MA)
College of the Holy Cross (Worcester, MA)
Colorado School of Mines (Golden, CO)
Colorado State University (Fort Collins, CO)
Creighton University (Omaha, NE)
Davis & Elkins College (Elkins, WV)
Fisk University (Nashville, TN)
Florida Institute of Technology (Melbourne, FL)
Furman University (Greenville, SC)
Georgia Institute of Technology (Atlanta, GA)
Gonzaga University (Spokane, WA)
Hampshire College (Amherst, MA)
Hanover College (Hanover, IN)
Heidelberg University (Tiffin, OH)
High Point University (High Point, NC)
Illinois Institute of Technology (Chicago, IL)
Illinois Wesleyan University (Bloomington, IL)
Ithaca College (Ithaca, NY)
John Carroll University (University Heights, OH)
Johns Hopkins University (Baltimore, MD)
Kalamazoo College (Kalamazoo, MI)
Knox College (Galesburg, IL)
Lehigh University (Bethlehem, PA)
Lenoir&#8211;Rhyne University (Hickory, NC)
Linfield College (McMinnville, OR)
Loras College (Dubuque, IA)
Loyola University New Orleans (New Orleans, LA)
Manhattanville College (Purchase, NY)
Marquette University (Milwaukee, WI)
Michigan State University (East Lansing, MI)
Millikin University (Decatur, IL)
Millsaps College (Jackson, MS)
Montana State University &#8212; Bozeman (Bozeman, MT)
New Mexico Institute of Mining and Technology (Socorro, NM)
Otterbein University (Westerville, OH)
Pennsylvania State University &#8212; University Park (University Park, PA)
Pepperdine University (Malibu, CA)
Rensselaer Polytechnic Institute (Troy, NY)
Rhodes College (Memphis, TN)
Ripon College (Ripon, WI)
Rochester Institute of Technology (Rochester, NY)
Rollins College (Winter Park, FL)
Saint Leo University (Saint Leo, FL)
Southwestern University (Georgetown, TX)
Spelman College (Atlanta, GA)
Spring Hill College (Mobile, AL)
St. John's College (Annapolis, MD)
St. John's College (Santa Fe, NM)
St. Louis University (St. Louis, MO)
Stetson University (Deland, FL)
Stonehill College (Easton, MA)
Susquehanna University (Selinsgrove, PA)
The University of Tulsa (Tulsa, OK)
Thomas Aquinas College (Santa Paula, CA)
Union College (Schenectady, NY)
University of Dallas (Irving, TX)
University of Dayton (Dayton, OH)
University of Delaware (Newark, DE)
University of Mary Washington (Fredericksburg, VA)
University of New Hampshire (Durham, NH)
University of Oregon (Eugene, OR)
University of Puget Sound (Tacoma, WA)
University of Rhode Island (Kingston, RI)
University of Richmond (University of Richmond, VA)
University of Rochester (Rochester, NY)
Ursinus College (Collegeville, PA)
Valparaiso University (Valparaiso, IN)
Villanova University (Villanova, PA)
Wabash College (Crawfordsville, IN)
Wake Forest University (Winston Salem, NC)
Wartburg College (Waverly, IA)
Washington & Jefferson College (Washington, PA)
Washington College (Chestertown, MD)
Washington and Lee University (Lexington, VA)
Western Washington University (Bellingham, WA)
Willamette University (Salem, OR)
Worcester Polytechnic Institute (Worcester, MA)
Xavier University (Cincinnati, OH)
