Austin College (Sherman, TX)
Ball State University (Muncie, IN)
Connecticut College (New London, CT)
George Mason University (Fairfax, VA)
Georgetown University (Washington, DC)
Gettysburg College (Gettysburg, PA)
Indiana University Bloomington (Bloomington, IN)
Kenyon College (Gambier, OH)
Ohio State University &#8212; Columbus (Columbus, OH)
Pacific University Oregon (Forest Grove, OR)
Portland State University (Portland, OR)
SUNY &#8212; University at Buffalo (Buffalo, NY)
Seton Hall University (South Orange, NJ)
St. Andrews University (Laurinburg, NC)
Towson University (Towson, MD)
University of California, Berkeley (Berkeley, CA)
University of Colorado, Boulder (Boulder, CO)
University of Denver (Denver, CO)
University of Georgia (Athens, GA)
University of Hawaii at Manoa (Honolulu, HI)
University of Iowa (Iowa City, IA)
University of Kansas (Lawrence, KS)
University of Massachusetts Amherst (Amherst, MA)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of Minnesota &#8212; Twin Cities (Minneapolis, MN)
University of New Hampshire (Durham, NH)
University of North Carolina at Chapel Hill (Chapel Hill, NC)
University of Oregon (Eugene, OR)
University of Pittsburgh (Pittsburgh, PA)
University of Virginia (Charlottesville, VA)
University of Washington, Seattle (Seattle, WA)
University of Wisconsin &#8212; Madison (Madison, WI)
Valparaiso University (Valparaiso, IN)
