Albright College (Reading, PA)
Baylor University (Waco, TX)
Bowling Green State University (Bowling Green, OH)
California College of the Arts (San Francisco, CA)
Cazenovia College (Cazenovia, NY)
Colorado State University (Fort Collins, CO)
Columbia College Chicago (Chicago, IL)
Cornell University (Ithaca, NY)
Dominican University (River Forest, IL)
Drexel University (Philadelphia, PA)
East Carolina University (Greenville, NC)
Fashion Institute of Technology (New York, NY)
Georgia Southern University (Statesboro, GA)
Houston Community College (Houston, TX)
Indiana University Bloomington (Bloomington, IN)
Iowa State University (Ames, IA)
Kent State University (Kent, OH)
Laboratory Institute of Merchandising (New York, NY)
Lasell College (Newton, MA)
Marist College (Poughkeepsie, NY)
Marymount University (Arlington, VA)
Middlesex University (Hendon, London, UK)
Monterey Peninsula College (Monterey, CA)
Moore College of Art and Design (Philadelphia, PA)
Mount Mary College (Milwaukee, WI)
Ohio State University &#8212; Columbus (Columbus, OH)
Oregon State University (Corvallis, OR)
Otis College of Art and Design (Los Angeles, CA)
Parsons The New School for Design (New York, NY)
Pratt Institute (Brooklyn, NY)
Purdue University &#8212; West Lafayette (West Lafayette, IN)
Radford University (Radford, VA)
Rhode Island School of Design (Providence, RI)
Ryerson University (Toronto, Ontario, CAN)
SUNY College at Oneonta (Oneonta, NY)
San Francisco State University (San Francisco, CA)
Santa Ana College (Santa Ana, CA)
Santa Monica College (Santa Monica, CA)
Savannah College of Art and Design (Savannah, GA)
Southern Illinois University &#8212; Carbondale (Carbondale, IL)
Stephens College (Columbia, MO)
Syracuse University (Syracuse, NY)
Texas Tech University (Lubbock, TX)
The Florida State University (Tallahassee, FL)
The School of the Art Institute of Chicago (Chicago, IL)
University of Cincinnati (Cincinnati, OH)
University of Delaware (Newark, DE)
University of Kansas (Lawrence, KS)
University of Louisiana at Lafayette (Lafayette, LA)
University of Nebraska &#8212; Lincoln (Lincoln, NE)
University of North Texas (Denton, TX)
University of Wisconsin &#8212; Madison (Madison, WI)
University of Wisconsin &#8212; Stout (Menomonie, WI)
Virginia Commonwealth University (Richmond, VA)
Virginia Polytechnic Institute and State University (Blacksburg, VA)
Wade College (Dallas, TX)
West Virginia University (Morgantown, WV)
Woodbury University (Burbank, CA)
