Bennington College (Bennington, VT)
Boston University (Boston, MA)
Brandeis University (Waltham, MA)
California Institute of the Arts (Valencia, CA)
Carnegie Mellon University (Pittsburgh, PA): *The Top Choice
Case Western Reserve University (Cleveland, OH)
Chapman University (Orange, CA)
DePaul University (Chicago, IL)
Drew University (Madison, NJ)
Emerson College (Boston, MA)
Fordham University (Bronx, NY)
Ithaca College (Ithaca, NY)
Juilliard School (New York, NY)
Kenyon College (Gambier, OH)
Muhlenberg College (Allentown, PA)
New York University (New York, NY)
Northwestern University (Evanston, IL)
SUNY &#8212; Purchase College (Purchase, NY): **The Second Choice
Sarah Lawrence College (Bronxville, NY)
Syracuse University (Syracuse, NY)
University of California &#8212; Los Angeles (Los Angeles, CA)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of North Carolina School of the Arts (Winston-Salem, NC)
University of Southern California (Los Angeles, CA)
Vassar College (Poughkeepsie, NY)
Wagner College (Staten Island, NY)
Wesleyan University (Middletown, CT)
Yale University (New Haven, CT)
Adelphi University (Garden City, NY)
Agnes Scott College (Decatur, GA)
American Academy of Dramatic Arts (New York, NY)
 class="name">2. American Conservatory Theater (San Francisco, CA)
American University (Washington, DC)
Arizona State University &#8212; Tempe Campus (Tempe, AZ)
Bard College (Annandale on Hudson, NY)
Barnard College (New York, NY)
Beloit College (Beloit, WI)
 class="name">2. Bristol Old Vic Theatre School (Bristol, UK)
Catawba College (Salisbury, NC)
Catholic University of America (Washington, DC)
Columbia College Chicago (Chicago, IL)
Connecticut College (New London, CT)
Cornish College of the Arts (Seattle, WA)
DeSales University (Center Valley, PA)
 class="name">2. Drama Centre London (London, UK)
Elon University (Elon, NC)
Georgetown University (Washington, DC)
Goucher College (Baltimore, MD)
Hampshire College (Amherst, MA)
Hofstra University (Hempstead, NY)
Indiana University Bloomington (Bloomington, IN)
Jacksonville University (Jacksonville, FL)
Kean University (Union, NJ)
 class="name">2. London Academy of Music & Dramatic Arts (London, UK)
Long Island University &#8212; C.W. Post Campus (Brookville, NY)
Loyola University New Orleans (New Orleans, LA)
Manhattanville College (Purchase, NY)
Marymount Manhattan College (New York, NY)
Massachusetts College of Liberal Arts (North Adams, MA)
Mills College (Oakland, CA)
Moravian College (Bethlehem, PA)
 class="name">2. National Institute of Dramatic Art (Kensington, AUS)
Nebraska Wesleyan University (Lincoln, NE)
 class="name">2. New World School of the Arts (Miami, FL)
Niagara University (Niagara University, NY)
Northern Arizona University (Flagstaff, AZ)
Oberlin College (Oberlin, OH)
Occidental College (Los Angeles, CA)
Otterbein University (Westerville, OH)
Pace University (New York, NY)
Roosevelt University (Chicago, IL)
 class="name">2. Royal Academy of Dramatic Art (London, UK)
 class="name">2. Royal Central School of Speech and Drama (London, UK)
Rutgers, the State University of New Jersey &#8212; New Brunswick (Piscataway, NJ)
SUNY &#8212; New Paltz (New Paltz, NY)
Savannah College of Art and Design (Savannah, GA)
Shepherd University (Shepherdstown, WV)
Skidmore College (Saratoga Springs, NY)
Southern Methodist University (Dallas, TX)
Southern Oregon University (Ashland, OR)
Stephens College (Columbia, MO)
Temple University (Philadelphia, PA)
Texas Christian University (Fort Worth, TX)
 class="name">2. The American Musical and Dramatic Academy (New York City, NY)
The University of Texas at Austin (Austin, TX)
The University of the Arts (Philadelphia, PA)
Trinity College (Hartford, CT)
Tufts University (Medford, MA)
University of California, Irvine (Irvine, CA)
University of California, Santa Barbara (Santa Barbara, CA)
University of Cincinnati (Cincinnati, OH)
University of Colorado Boulder (Boulder, CO)
University of Evansville (Evansville, IN)
University of Hartford (West Hartford, CT)
University of Houston (Houston, TX)
University of Idaho (Moscow, ID)
University of Illinois at Urbana&#8211;Champaign (Champaign, IL)
University of Iowa (Iowa City, IA)
University of Massachusetts Amherst (Amherst, MA)
University of Memphis (Memphis, TN)
University of Miami (Coral Gables, FL)
University of Minnesota &#8212; Twin Cities (Minneapolis, MN)
University of Missouri &#8212; Kansas City (Kansas City, MO)
University of New Hampshire (Durham, NH)
University of North Carolina at Chapel Hill (Chapel Hill, NC)
University of Southern California (Los Angeles, CA)
Viterbo University (La Crosse, WI)
Washington College (Chestertown, MD)
Wells College (Aurora, NY)
Wheaton College (Norton, MA)
Whitman College (Walla Walla, WA)
Wilkes University (Wilkes-Barre, PA)
Willamette University (Salem, OR)
Wittenberg University (Springfield, OH)
