Albion College (Albion, MI)
Allegheny College (Meadville, PA)
Alma College (Alma, MI)
American University (Washington, DC)
Amherst College (Amherst, MA)
Bates College (Lewiston, ME)
Beloit College (Beloit, WI)
Birmingham&#8211;Southern College (Birmingham, AL)
Boston College (Chestnut Hill, MA)
Brandeis University (Waltham, MA)
Brown University (Providence, RI)
Bryn Mawr College (Bryn Mawr, PA)
Calvin University (Grand Rapids, MI)
Carleton College (Northfield, MN)
Claremont McKenna College (Claremont, CA)
Colgate University (Hamilton, NY)
College of William and Mary (Williamsburg, VA)
Colorado College (Colorado Springs, CO)
Columbia University (New York, NY)
Connecticut College (New London, CT)
Cornell University (Ithaca, NY)
Dartmouth College (Hanover, NH)
Davidson College (Davidson, NC)
Dickinson College (Carlisle, PA)
Drake University (Des Moines, IA)
Drew University (Madison, NJ)
Duke University (Durham, NC)
Emory University (Atlanta, GA)
Georgetown University (Washington, DC)
Gettysburg College (Gettysburg, PA)
Goucher College (Baltimore, MD)
Grace College & Seminary (Winona Lake, IN)
Grinnell College (Grinnell, IA)
Hamilton College (Clinton, NY)
Hamline University (St. Paul, MN)
Hampden&#8211;Sydney College (Hampden-Sydney, VA)
Harvard University (Cambridge, MA)
Hiram College (Hiram, OH)
Indiana University Bloomington (Bloomington, IN)
Johns Hopkins University (Baltimore, MD)
Kalamazoo College (Kalamazoo, MI)
Kenyon College (Gambier, OH)
Lafayette College (Easton, PA)
Lake Forest College (Lake Forest, IL)
Lawrence University (Appleton, WI)
Lewis and Clark College (Portland, OR)
Macalester College (St. Paul, MN)
Middlebury College (Middlebury, VT)
Millersville University of Pennsylvania (Millersville, PA)
Moravian College (Bethlehem, PA)
Mount Holyoke College (South Hadley, MA)
Muhlenberg College (Allentown, PA)
Northeastern University (Boston, MA)
Oberlin College (Oberlin, OH)
Ohio Wesleyan University (Delaware, OH)
Pomona College (Claremont, CA)
Princeton University (Princeton, NJ)
Reed College (Portland, OR)
SUNY &#8212; Binghamton (Binghamton, NY)
Santa Clara University (Santa Clara, CA)
Smith College (Northampton, MA)
Southwestern University (Georgetown, TX)
St. Mary's College of California (Moraga, CA)
St. Olaf College (Northfield, MN)
Stanford University (Stanford, CA)
Swarthmore College (Swarthmore, PA)
Texas Christian University (Fort Worth, TX)
The College of Wooster (Wooster, OH)
The George Washington University (Washington, DC)
The University of Texas at Austin (Austin, TX)
The University of the South (Sewanee, TN)
Trinity University (San Antonio, TX)
Tufts University (Medford, MA)
Union College (Schenectady, NY)
University of California &#8212; Los Angeles (Los Angeles, CA)
University of California, Berkeley (Berkeley, CA)
University of California, Davis (Davis, CA)
University of California, Santa Cruz (Santa Cruz, CA)
University of Chicago (Chicago, IL)
University of Dallas (Irving, TX)
University of Kansas (Lawrence, KS)
University of Mary Washington (Fredericksburg, VA)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of North Carolina at Chapel Hill (Chapel Hill, NC)
University of Pennsylvania (Philadelphia, PA)
University of Pittsburgh (Pittsburgh, PA)
University of Richmond (University of Richmond, VA)
University of Rochester (Rochester, NY)
University of South Carolina &#8212; Columbia (Columbia, SC)
University of Vermont (Burlington, VT)
University of Virginia (Charlottesville, VA)
University of Wisconsin &#8212; Madison (Madison, WI)
Vanderbilt University (Nashville, TN)
Vassar College (Poughkeepsie, NY)
Wabash College (Crawfordsville, IN)
Washington University in St. Louis (St. Louis, MO)
Washington and Lee University (Lexington, VA)
Wellesley College (Wellesley, MA)
Wesleyan University (Middletown, CT)
West Virginia University (Morgantown, WV)
Whitman College (Walla Walla, WA)
Williams College (Williamstown, MA)
Wittenberg University (Springfield, OH)
Yale University (New Haven, CT)
