American University (Washington, DC)
Arizona State University (Tempe, AZ)
Asbury University (Wilmore, KY)
Ball State University (Muncie, IN)
Barry University (Miami Shores, FL)
Boston University (Boston, MA)
Butler University (Indianapolis, IN)
California University of Pennsylvania (California, PA)
Champlain College (Burlington, VT)
Chapman University (Orange, CA)
Columbia College Chicago (Chicago, IL)
Drake University (Des Moines, IA)
Elon University (Elon, NC)
Emerson College (Boston, MA)
Flagler College (St. Augustine, FL)
Fordham University (New York, NY)
George Mason University (Fairfax, VA)
Gonzaga University (Spokane, WA)
Heidelberg University (Tiffin, OH)
Hofstra University (Hempstead, NY)
Indiana University Bloomington (Bloomington, IN)
Iowa State University (Ames, IA)
Ithaca College (Ithaca, NY)
Johnson C. Smith University (Charlotte, NC)
Kent State University (Kent, OH)
Loyola Marymount University (Los Angeles, CA)
Marist College (Poughkeepsie, NY)
Marquette University (Milwaukee, WI)
New York University (New York, NY)
Northeastern University (Boston, MA)
Northwestern University (Evanston, IL)
Ohio University (Athens, OH)
Ohio Wesleyan University (Delaware, OH)
Pennsylvania State University &#8212; University Park (University Park, PA)
Pepperdine University (Malibu, CA)
Quinnipiac University (Hamden, CT)
Ripon College (Ripon, WI)
Ryerson University (Toronto, Ontario, CAN)
San Francisco State University (San Francisco, CA)
Seton Hall University (South Orange, NJ)
Shepherd University (Shepherdstown, WV)
Southern Illinois University &#8212; Carbondale (Carbondale, IL)
Southern Methodist University (Dallas, TX)
Syracuse University (Syracuse, NY)
Temple University (Philadelphia, PA)
Texas Christian University (Fort Worth, TX)
The George Washington University (Washington, DC)
The University of Alabama (Tuscaloosa, AL)
The University of Arizona (Tucson, AZ)
The University of Montana (Missoula, MT)
The University of Texas at Austin (Austin, TX)
Trinity University (San Antonio, TX)
University of Central Florida (Orlando, FL)
University of Colorado, Boulder (Boulder, CO)
University of Delaware (Newark, DE)
University of Florida (Gainesville, FL)
University of Georgia (Athens, GA)
University of Houston (Houston, TX)
University of Illinois at Urbana&#8211;Champaign (Champaign, IL)
University of Iowa (Iowa City, IA)
University of Kansas (Lawrence, KS)
University of Louisiana at Lafayette (Lafayette, LA)
University of Maryland, College Park (College Park, MD)
University of Miami (Coral Gables, FL)
University of Missouri &#8212; Columbia (Columbia, MO)
University of North Carolina at Chapel Hill (Chapel Hill, NC)
University of Oregon (Eugene, OR)
University of Southern California (Los Angeles, CA)
University of Wisconsin &#8212; Madison (Madison, WI)
Virginia Commonwealth University (Richmond, VA)
Western Kentucky University (Bowling Green, KY)
