Barnard College (New York, NY)
Baylor University (Waco, TX)
Birmingham&#8211;Southern College (Birmingham, AL)
Boston College (Chestnut Hill, MA)
Brandeis University (Waltham, MA)
Brown University (Providence, RI)
Calvin University (Grand Rapids, MI)
College of William and Mary (Williamsburg, VA)
Columbia University (New York, NY)
DeSales University (Center Valley, PA)
Dickinson College (Carlisle, PA)
Drew University (Madison, NJ)
Louisiana State University &#8212; Baton Rouge (Baton Rouge, LA)
Muhlenberg College (Allentown, PA)
Nyack College (Nyack, NY)
Rice University (Houston, TX)
Rutgers, the State University of New Jersey &#8212; New Brunswick (Piscataway, NJ)
Saint Anselm College (Manchester, NH)
Saint Michael's College (Colchester, VT)
Southern Methodist University (Dallas, TX)
Southwestern University (Georgetown, TX)
St. Louis University (St. Louis, MO)
Stanford University (Stanford, CA)
Trinity Western University (Langley, CAN)
University of California, Santa Barbara (Santa Barbara, CA)
University of Chicago (Chicago, IL)
University of Dayton (Dayton, OH)
University of Denver (Denver, CO)
University of Iowa (Iowa City, IA)
University of Notre Dame (Notre Dame, IN)
University of Pittsburgh (Pittsburgh, PA)
University of Portland (Portland, OR)
University of Virginia (Charlottesville, VA)
Valparaiso University (Valparaiso, IN)
Westmont College (Santa Barbara, CA)
Wofford College (Spartanburg, SC)
Yale University (New Haven, CT)
