Clemson University (Clemson, SC)
Colgate University (Hamilton, NY)
Cornell University (Ithaca, NY)
Duke University (Durham, NC)
Grand Valley State University (Allendale, MI)
Kansas State University (Manhattan, KS)
Louisiana State University &#8212; Baton Rouge (Baton Rouge, LA)
Mount Holyoke College (South Hadley, MA)
Ohio State University &#8212; Columbus (Columbus, OH)
Oklahoma State University (Stillwater, OK)
Pennsylvania State University &#8212; University Park (University Park, PA)
Purdue University &#8212; West Lafayette (West Lafayette, IN)
SUNY College of Technology at Delhi (Delhi, NY)
Stanford University (Stanford, CA)
Texas Tech University (Lubbock, TX)
The University of New Mexico (Albuquerque, NM)
United States Air Force Academy (USAF Academy, CO)
University of Florida (Gainesville, FL)
University of Georgia (Athens, GA)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of North Carolina at Chapel Hill (Chapel Hill, NC)
University of Notre Dame (Notre Dame, IN)
University of Oklahoma (Norman, OK)
University of Virginia (Charlottesville, VA)
University of Wisconsin &#8212; Madison (Madison, WI)
Virginia Polytechnic Institute and State University (Blacksburg, VA)
Washington State University (Pullman, WA)
Williams College (Williamstown, MA)
Yale University (New Haven, CT)
