Coastal Carolina University (Conway, SC)
College of Charleston (Charleston, SC)
Dalhousie University (Halifax, CAN)
Eckerd College (St. Petersburg, FL)
Florida Atlantic University (Boca Raton, FL)
Florida Institute of Technology (Melbourne, FL)
Hawaii Pacific University (Honolulu, HI)
Juniata College (Huntingdon, PA)
Maine Maritime Academy (Castine, ME)
Massachusetts Maritime Academy (Buzzards Bay, MA)
Old Dominion University (Norfolk, VA)
Oregon State University (Corvallis, OR)
Richard Stockton College of New Jersey (Pomona, NJ)
SUNY &#8212; Maritime College (Throggs Neck, NY)
Stevens Institute of Technology (Hoboken, NJ)
University of Alaska, Southeast (Juneau, AK)
University of Maine (Orono, ME)
University of Miami (Coral Gables, FL)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of New England (Biddeford, ME)
University of New Hampshire (Durham, NH)
University of New Orleans (New Orleans, LA)
University of North Carolina at Wilmington (Wilmington, NC)
University of Rhode Island (Kingston, RI)
University of South Carolina &#8212; Columbia (Columbia, SC)
University of Virginia (Charlottesville, VA)
University of Washington, Seattle (Seattle, WA)
University of West Florida (Pensacola, FL)
Virginia Polytechnic Institute and State University (Blacksburg, VA)
Webb Institute (Glen Cove, NY)
