Auburn University (Auburn, AL)
Baylor University (Waco, TX)
Florida Agricultural & Mechanical University (Tallahassee, FL)
Grambling State University (Grambling, LA)
Jackson State University (Jackson, MS)
Jacksonville State University (Jacksonville, AL)
James Madison University (Harrisonburg, VA)
Louisiana State University (Baton Rouge, LA)
Michigan State University (East Lansing, MI)
Northwestern State University of Louisiana (Natchitoches, LA)
Ohio University (Athens, OH)
Pennsylvania State University &#8212; University Park (University Park, PA)
Purdue University &#8212; West Lafayette (West Lafayette, IN)
Southern University at New Orleans (New Orleans, LA)
Stanford University (Stanford, CA)
Texas A&M University &#8212; College Station (College Station, TX)
Texas Tech University (Lubbock, TX)
The Ohio State University &#8212; Columbus (Columbus, OH)
The University of Alabama (Tuscaloosa, AL)
The University of Arizona (Tucson, AZ)
The University of Texas at Austin (Austin, TX)
University of Florida (Gainesville, FL)
University of Georgia (Athens, GA)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of Minnesota &#8212; Twin Cities (Minneapolis, MN)
University of North Texas (Denton, TX)
University of Notre Dame (Notre Dame, IN)
University of Oklahoma (Norman, OK)
University of Southern California (Los Angeles, CA)
University of Tennessee at Knoxville (Knoxville, TN)
University of Wisconsin &#8212; Eau Claire (Eau Claire, WI)
University of Wisconsin &#8212; Madison (Madison, WI)
Western Carolina University (Cullowhee, NC)
