Bemidji State University (Bemidji, MN)
Boston College (Chestnut Hill, MA)
Boston University (Boston, MA)
Clarkson University (Potsdam, NY)
Cornell University (Ithaca, NY)
Dartmouth College (Hanover, NH)
Harvard University (Cambridge, MA)
Mercyhurst University (Erie, PA)
Northeastern University (Boston, MA)
Pennsylvania State University &#8212; University Park (University Park, PA)
Princeton University (Princeton, NJ)
Quinnipiac University (Hamden, CT)
Robert Morris University (Chicago, IL)
Rochester Institute of Technology (Rochester, NY)
St. Lawrence University (Canton, NY)
Syracuse University (Syracuse, NY)
The Ohio State University &#8212; Columbus (Columbus, OH)
University of Connecticut (Storrs, CT)
University of Minnesota &#8212; Twin Cities (Minneapolis, MN)
University of Minnesota Duluth (Duluth, MN)
University of New Hampshire (Durham, NH)
University of North Dakota (Grand Forks, ND)
University of Vermont (Burlington, VT)
University of Wisconsin &#8212; Madison (Madison, WI)
Yale University (New Haven, CT)
