Baylor University (Waco, TX)
Beloit College (Beloit, WI)
Boston University (Boston, MA)
Bowdoin College (Brunswick, ME)
Brown University (Providence, RI)
Bryn Mawr College (Bryn Mawr, PA)
CUNY &#8212; Hunter College (New York, NY)
Columbia University (New York, NY)
Dartmouth College (Hanover, NH)
Haverford College (Haverford, PA)
New York University (New York, NY)
Oberlin College (Oberlin, OH)
Princeton University (Princeton, NJ)
St. Mary's College of California (Moraga, CA)
The College of Wooster (Wooster, OH)
The University of Texas at Austin (Austin, TX)
Tufts University (Medford, MA)
University of California &#8212; Los Angeles (Los Angeles, CA)
University of California, Berkeley (Berkeley, CA)
University of Evansville (Evansville, IN)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of North Carolina at Chapel Hill (Chapel Hill, NC)
University of Oregon (Eugene, OR)
University of Pennsylvania (Philadelphia, PA)
Washington College (Chestertown, MD)
Washington University in St. Louis (St. Louis, MO)
Wellesley College (Wellesley, MA)
Yale University (New Haven, CT)
