American Jewish University (Bel Air, CA)
Barnard College (New York, NY)
Binghamton University, The State University of New York (Binghamton, NY)
Boston University (Boston, MA)
Bradley University (Peoria, IL)
Brandeis University (Waltham, MA)
Brown University (Providence, RI)
CUNY &#8212; Baruch College (New York, NY)
CUNY &#8212; Brooklyn College (Brooklyn, NY)
CUNY &#8212; Queens College (Queens, NY)
Carnegie Mellon University (Pittsburgh, PA)
Case Western Reserve University (Cleveland, OH)
Clark University (Worcester, MA)
College of Charleston (Charleston, SC)
Columbia University (New York, NY)
Cornell University (Ithaca, NY)
Dartmouth College (Hanover, NH)
Dickinson College (Carlisle, PA)
Drexel University (Philadelphia, PA)
Duke University (Durham, NC)
Emory University (Atlanta, GA)
Franklin & Marshall College (Lancaster, PA)
Goucher College (Baltimore, MD)
Harvard University (Cambridge, MA)
Hofstra University (Hempstead, NY)
Indiana University Bloomington (Bloomington, IN)
Ithaca College (Ithaca, NY)
Jewish Theological Seminary of America (New York, NY)
Johns Hopkins University (Baltimore, MD)
Massachusetts Institute of Technology (Cambridge, MA)
McGill University (Montreal, CN)
Michigan State University (East Lansing, MI)
Mount Holyoke College (South Hadley, MA)
Muhlenberg College (Allentown, PA)
New York University (New York, NY)
Northeastern University (Boston, MA)
Northwestern University (Evanston, IL)
Oberlin College (Oberlin, OH)
Pennsylvania State University &#8212; University Park (University Park, PA)
Princeton University (Princeton, NJ)
Rutgers, the State University of New Jersey &#8212; New Brunswick (Piscataway, NJ)
SUNY &#8212; Albany (Albany, NY)
SUNY &#8212; Buffalo State (Buffalo, NY)
SUNY &#8212; Geneseo (Geneseo, NY)
Stanford University (Stanford, CA)
Stony Brook University (Stony Brook, NY)
Syracuse University (Syracuse, NY)
Temple University (Philadelphia, PA)
The College of New Jersey (Ewing, NJ)
The Ohio State University &#8212; Columbus (Columbus, OH)
The University of Arizona (Tucson, AZ)
The University of Chicago (Chicago, IL)
Touro College (New York, NY)
Towson University (Towson, MD)
Trinity College (Hartford, CT)
Tufts University (Medford, MA)
Tulane University (New Orleans, LA)
University of California &#8212; Los Angeles (Los Angeles, CA)
University of California, Irvine (Irvine, CA)
University of California, San Diego (La Jolla, CA)
University of Central Florida (Orlando, FL)
University of Colorado Boulder (Boulder, CO)
University of Connecticut (Storrs, CT)
University of Delaware (Newark, DE)
University of Hartford (West Hartford, CT)
University of Illinois at Urbana&#8211;Champaign (Champaign, IL)
University of Kansas (Lawrence, KS)
University of Maryland &#8212; Baltimore County (Baltimore, MD)
University of Maryland, College Park (College Park, MD)
University of Massachusetts Amherst (Amherst, MA)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of Pennsylvania (Philadelphia, PA)
University of Pittsburgh (Pittsburgh, PA)
University of Rochester (Rochester, NY)
University of San Diego (San Diego, CA)
University of Vermont (Burlington, VT)
University of Wisconsin &#8212; Madison (Madison, WI)
Vanderbilt University (Nashville, TN)
Washington University in St. Louis (St. Louis, MO)
Wayne State University (Detroit, MI)
Wellesley College (Wellesley, MA)
Wesleyan University (Middletown, CT)
Williams College (Williamstown, MA)
Yale University (New Haven, CT)
Yeshiva University (New York, NY)
