Allegheny College (Meadville, PA)
Augustana College (Rock Island, IL)
Austin College (Sherman, TX)
Bethany College (Lindsborg, KS)
Bryn Athyn College of the New Church (Bryn Athyn, PA)
Colby College (Waterville, ME)
Concordia University, Nebraska (Seward, NE)
Deree &#8212; The American College of Greece (Athens, GR)
Eastern New Mexico University (Portales, NM)
Eastern Oregon University (La Grande, OR)
Grand Canyon University (Phoenix, AZ)
Holy Names University (Oakland, CA)
Houston Baptist University (Houston, TX)
Johnson & Wales University at Denver (Denver, CO)
Mercyhurst University (Erie, PA)
Midland University (Fremont, NE)
Northwest Christian University (Eugene, OR)
Prescott College (Prescott, AZ)
Rosemont College (Rosemont, PA)
St. Bonaventure University (St. Bonaventure, NY)
St. Peter's University (Jersey City, NJ)
Texas A&M International University (Laredo, TX)
The College of Idaho (Caldwell, ID)
The University of Scranton (Scranton, PA)
The University of Texas of the Permian Basin (Odessa, TX)
Thiel College (Greenville, PA)
Union College (Lincoln, NE)
Union College (Schenectady, NY)
United States Air Force Academy (USAF Academy, CO)
United States Coast Guard Academy (New London, CT)
United States Merchant Marine Academy (Kings Point, NY)
United States Military Academy (West Point, NY)
University of Jamestown (Jamestown, ND)
Wellesley College (Wellesley, MA)
Whitworth University (Spokane, WA)
Wilson College (Chambersburg, PA)
York College of Pennsylvania (York, PA)
