Appalachian State University (Boone, NC)
Azusa Pacific University (Azusa, CA)
Bates College (Lewiston, ME)
Boston University (Boston, MA)
Bowling Green State University (Bowling Green, OH)
CUNY &#8212; College of Staten Island (Staten Island, NY)
California Polytechnic State University, San Luis Obispo (San Luis Obispo, CA)
California State University, Long Beach (Long Beach, CA)
Carnegie Mellon University (Pittsburgh, PA)
Central Michigan University (Mount Pleasant, MI)
Central Washington University (Ellensburg, WA)
Colorado State University (Fort Collins, CO)
Columbia College Chicago (Chicago, IL)
Dakota State University (Madison, SD)
DePaul University (Chicago, IL)
Five Towns College (Dix Hills, NY)
Florida International University (Miami, FL)
Florida State University (Tallahassee, FL)
Foothill College (Los Altos Hills, CA)
Georgetown University (Washington, DC)
Georgia Institute of Technology (Atlanta, GA)
Gettysburg College (Gettysburg, PA)
Goshen College (Goshen, IN)
Hofstra University (Hempstead, NY)
Husson University (Bangor, ME)
Illinois State University (Normal, IL)
Indiana State University (Terre Haute, IN)
Ithaca College (Ithaca, NY)
Kansas State University (Manhattan, KS)
Keene State College (Keene, NH)
Kent State University (Kent, OH)
Lasell College (Newton, MA)
Lyndon State College (Lyndonville, VT)
Marshall University (Huntington, WV)
Mercer County Community College (Trenton, NJ)
Michigan State University (East Lansing, MI)
Michigan Technological University (Houghton, MI)
Millikin University (Decatur, IL)
Milwaukee School of Engineering (Milwaukee, WI)
Muskingum University (New Concord, OH)
New York University (New York, NY)
North Carolina Central University (Durham, NC)
North Central College (Naperville, IL)
Northeastern Illinois University (Chicago, IL)
Northern Arizona University (Flagstaff, AZ)
Northern Michigan University (Marquette, MI)
Northwest Missouri State University (Maryville, MO)
Northwestern University (Evanston, IL)
Occidental College (Los Angeles, CA)
Oregon State University (Corvallis, OR)
Otterbein University (Westerville, OH)
Randolph College (Lynchburg, VA)
Rochester Institute of Technology (Rochester, NY)
Roosevelt University (Chicago, IL)
Rowan University (Glassboro, NJ)
Rutgers, the State University of New Jersey &#8212; New Brunswick (Piscataway, NJ)
SUNY &#8212; Plattsburgh (Plattsburgh, NY)
SUNY College &#8212; Brockport (Brockport, NY)
Saint John's University (Collegeville, MN)
Santa Clara University (Santa Clara, CA)
Savannah College of Art and Design (Savannah, GA)
Southeastern Louisiana University (Hammond, LA)
St. Cloud State University (St. Cloud, MN)
Stanford University (Stanford, CA)
Stevens Institute of Technology (Hoboken, NJ)
Stony Brook University (Stony Brook, NY)
Tarleton State University (Stephenville, TX)
Texas State University &#8212; San Marcos (San Marcos, TX)
The American University in Cairo (New Cairo 11835, EG (EGY))
The University of Alabama (Tuscaloosa, AL)
Trinity College (Hartford, CT)
University of California, Berkeley (Berkeley, CA)
University of California, Riverside (Riverside, CA)
University of California, Santa Barbara (Santa Barbara, CA)
University of Cincinnati (Cincinnati, OH)
University of Hawaii at Manoa (Honolulu, HI)
University of Illinois at Urbana&#8211;Champaign (Champaign, IL)
University of Iowa (Iowa City, IA)
University of Kansas (Lawrence, KS)
University of Nevada, Reno (Reno, NV)
University of New Hampshire (Durham, NH)
University of North Carolina at Chapel Hill (Chapel Hill, NC)
University of Oklahoma (Norman, OK)
University of Oregon (Eugene, OR)
University of Puget Sound (Tacoma, WA)
University of Richmond (University of Richmond, VA)
University of Southern Indiana (Evansville, IN)
University of Texas at Arlington (Arlington, TX)
University of Washington, Seattle (Seattle, WA)
University of Wisconsin &#8212; Madison (Madison, WI)
Valparaiso University (Valparaiso, IN)
Wayne State College (Wayne, NE)
Waynesburg University (Waynesburg, PA)
Wellesley College (Wellesley, MA)
West Chester University of Pennsylvania (West Chester, PA)
Western Kentucky University (Bowling Green, KY)
Western Washington University (Bellingham, WA)
Wilkes University (Wilkes-Barre, PA)
Wright State University (Dayton, OH)
